title,year,runtime,votes,rating,genre
Antim: The Final Truth,2021,138,42441,6.2,Action
Antlers,2021,99,46960,5.9,Drama
Anubhavinchu Raja,2021,131,322,5.4,Comedy
Anugraheethan Antony,2021,120,1862,6.2,Drama
Anusandhan,2021,134,131,7,Thriller
Anything Goes,2021,159,716,7.5,Comedy
Apache Junction,2021,94,694,3.9,Action
Ape vs. Monster,2021,88,1052,2.2,Action
Apex,2021,93,6632,3,Sci-Fi
Apex Predators,2021,75,515,1.4,Horror
Apparitions,2021,85,317,3.3,Horror
Apple of My Eyes,2021,91,425,6,Comedy
Appunti di un venditore di donne,2021,125,443,6.3,Drama
April,2021,86,126,3.4,Drama
Aquarium of the Dead,2021,86,1279,2.9,Action
Aranmanai 3,2021,155,1425,4.1,Comedy
Arbaoon Aman wa Laylah,2021,75,162,5.5,Drama
Ardha Shathabdham,2021,130,1833,7.7,Action
Are We Monsters,2021,90,555,5.2,Drama
Are You Lonesome Tonight?,2021,95,871,6.3,Crime
Arisaka,2021,96,518,5.6,Action
Arjuna Phalguna,2021,130,441,4.8,Comedy
Armageddon Tales,2021,96,386,3.4,Action
Army of Thieves,2021,127,93039,6.4,Action
Army of the Dead,2021,148,194063,5.8,Action
Around the World in 80 Days,2021,82,1016,4.7,Adventure
Arsène Wenger: Invincible,2021,95,1559,7.6,Documentary
Art of Love,2021,116,403,4,Romance
Arthur Rambo,2021,87,731,6.1,Drama
As Far as I Can Walk,2021,92,235,6.6,Drama
As in Heaven,2021,86,768,6.2,Drama
As the Village Sleeps,2021,82,212,2.5,Drama
Asakusa Kid,2021,122,1898,7.1,Biography
Asalem Jarigindi,2021,124,1146,6.2,Horror
Ascension,2021,97,4302,7,Documentary
Ashley Jones Is Perfectly Normal,2021,82,143,4.5,Comedy
Ashman,2021,97,207,4.4,Comedy
Askim Bahardi,2021,94,126,4.6,Comedy
Asking for It,2021,97,1017,3.7,Thriller
Asmee,2021,97,570,5.7,Crime
Assault on VA-33,2021,90,1019,4.3,Action
Asteroid,2021,84,1096,4.2,Comedy
Astro Loco,2021,92,317,4.2,Comedy
At Night Comes Wolves,2021,76,216,2.3,Drama
At the Ready,2021,96,119,6.3,Documentary
Atlantis,2021,100,535,6.4,Drama
Atlas,2021,90,240,5.7,Drama
Atrangi Re,2021,138,28567,6.5,Comedy
Attached: Paranormal,2021,85,290,2.3,Horror
Attack of the Giant Blurry Finger,2021,60,408,3.4,Comedy
Attack of the Murder Hornets,2021,86,179,6.8,Documentary
Attack on Finland,2021,119,2229,5.3,Action
Attention Attention,2021,64,124,8.2,Music
Attention Please,2021,118,1629,6.8,Thriller
Attention au départ !,2021,93,401,5.2,Comedy
Attica,2021,116,3191,7.5,Documentary
Attraction to Paris,2021,112,250,3.6,Action
Aurora,2021,90,110,6.2,Drama
Authentik,2021,112,712,6.4,Biography
Autumn Girl,2021,105,850,5.5,Biography
Autumn Road,2021,95,263,4.1,Drama
Avalambika,2021,125,856,7,Romance
Average Joe,2021,87,150,2.8,Action
Avocado Toast,2021,100,310,4,Comedy
Awake,2021,96,27410,4.9,Action
Aware: Glimpses of Consciousness,2021,102,177,7.5,Documentary
Ayar,2021,84,146,4.9,Drama
Azor,2021,100,3137,6.5,Drama
Azzurri: Road to Wembley,2021,61,969,7.1,Documentary
B for Busy,2021,112,1922,7.5,Comedy
B-Boy Blues,2021,103,728,4.5,Drama
B.A. Pass 3,2021,136,3074,5,Drama
Baazi,2021,128,651,4.2,Action
Babi Yar. Context,2021,121,467,7.7,Documentary
Babloo Bachelor,2021,130,136,3.8,Comedy
Baby Assassins,2021,95,1606,6.4,Action
Baby Money,2021,93,342,4.7,Action
Baby Oopsie: The Feature,2021,76,564,5.2,Horror
Bachelor,2021,174,2211,6,Drama
Back Door,2021,100,1672,7.4,Drama
Back Then,2021,94,873,6.5,Comedy
Back to the Outback,2021,95,11313,6.5,Adventure
Backstage,2021,115,112,6.3,Drama
Backyard Village,2021,92,116,6.5,Drama
Bad Blood,2021,75,153,3.2,Horror
Bad Blood,2021,98,1586,6.7,Drama
Bad Christmas,2021,93,508,6.4,Comedy
Bad Cupid,2021,81,228,4.5,Comedy
Bad Girls,2021,97,291,3.7,Adventure
Bad Luck Banging or Loony Porn,2021,106,11206,6.5,Comedy
Bad Moon Rising,2021,82,107,3.4,Horror
Bad President,2021,90,4724,3.5,Comedy
Bad Trip,2021,86,28094,6.5,Comedy
Bad Weed,2021,81,224,5.3,Horror
Bad Witch,2021,81,305,4.1,Horror
Badava Rascal,2021,133,1745,7.3,Action
Badland Doves,2021,85,117,3.2,Action
Baggio: The Divine Ponytail,2021,91,5374,6.1,Biography
Bai Ivan - The Movie,2021,96,438,5.2,Comedy
Balamitra,2021,104,1032,6,Thriller
Bali,2021,103,372,6.5,Horror
Baloney,2021,70,113,7.4,Documentary
Bamse and the Volcano Island,2021,69,282,5.4,Adventure
Bangaru Bullodu,2021,147,285,5.3,Drama
Bankrolled,2021,97,363,4.2,Comedy
Bannerghatta,2021,80,721,5.2,Adventure
Bantú Mama,2021,77,219,6.3,Drama
Baphomet,2021,72,302,2.9,Horror
Baragaki: Unbroken Samurai,2021,148,301,6.3,Action
Barb and Star Go to Vista Del Mar,2021,107,21097,6.3,Comedy
Barbarian Invasion,2021,106,204,6.5,Action
Barbarians,2021,89,3022,4.7,Crime
Barra el-Manhag,2021,101,1503,7.1,Comedy
Bartkowiak,2021,91,1486,5.1,Action
Barumbadings,2021,75,115,2.7,Action
Barun Rai and the House on the Cliff,2021,118,630,4.2,Horror
Basta,2021,120,164,7.5,Comedy
Bastard's Crossing,2021,95,271,3.9,Thriller
Bastille: Reorchestrated,2021,70,119,7.9,Documentary
Batman: Soul of the Dragon,2021,83,7719,6.1,Action
Batman: The Long Halloween,2021,168,3286,7.5,Action
"Batman: The Long Halloween, Part One",2021,85,21206,7.2,Action
"Batman: The Long Halloween, Part Two",2021,87,17906,7.2,Action
Bats,2021,83,225,2.2,Drama
Battala Ramaswami biopikku,2021,136,187,5.8,Comedy
Battle in Space: The Armada Attacks,2021,90,362,2.4,Action
Battle of the Gods,2021,80,479,3.6,Adventure
Bawri Chhori,2021,82,132,4.1,Drama
Bazaar Rowdy,2021,127,832,5.6,Action
Be Human Once a Week,2021,85,253,3.1,Comedy
Be My Voice,2021,94,1021,6.6,Documentary
Be Somebody,2021,123,1861,6.9,Comedy
Beanie Mania,2021,80,1179,6.5,Documentary
Bearry,2021,83,298,3.5,Action
Beatrix,2021,95,102,6.1,Drama
Beautiful Minds,2021,92,1828,7,Comedy
Beba,2021,79,242,6.3,Documentary
"Bebia, à mon seul désir",2021,113,107,6.4,Drama
Beckenrand Sheriff,2021,113,742,6,Comedy
Beckett,2021,110,29328,5.7,Action
Becoming Cousteau,2021,94,1579,7.1,Adventure
Becoming the G.O.A.T.: The Tom Brady Story,2021,67,167,4,Documentary
Before I Go,2021,98,535,6.5,Comedy
Before I'm Dead,2021,83,337,3.7,Drama
Behemoth,2021,88,832,4.4,Horror
Behind the Sightings,2021,81,452,3.6,Horror
Being BeBe,2021,93,103,6.4,Biography
Being Present,2021,83,131,8.1,Documentary
Being the Ricardos,2021,131,45867,6.5,Biography
Belfast,2021,98,97058,7.2,Biography
Bellbottom,2021,123,23904,6.1,Action
Belle,2021,121,18644,7.1,Adventure
Below Zero,2021,106,22082,6.2,Action
Below the Fold,2021,92,309,4.2,Drama
Bem Bom,2021,111,795,6.5,Drama
Bender: Gold of the Empire,2021,87,271,4.4,Action
Bender: The Beginning,2021,96,435,4.6,Action
Bender: The Final Hustle,2021,97,217,4.4,Adventure
Benedetta,2021,131,27309,6.7,Biography
Benedict Arnold: Hero Betrayed,2021,125,104,6.3,Documentary
Benediction,2021,137,4012,6.6,Biography
Berend Botje,2021,80,107,5.9,Family
Berenshtein,2021,105,510,6.4,Biography
Bergman Island,2021,112,10824,6.6,Comedy
Best Sellers,2021,102,6905,6.2,Comedy
Best Years Gone,2021,94,119,4.8,Comedy
Besties,2021,80,269,6.3,Drama
Bet on Friendship,2021,118,626,6.4,Comedy
Betrayal at Attica,2021,84,175,7.3,Documentary
Better Left Unsaid,2021,91,194,7.1,Documentary
Between Me and You,2021,90,102,4.9,Drama
Between Two Dawns,2021,87,2112,7,Drama
Between Two Worlds,2021,106,2611,6.9,Drama
Between Us,2021,111,215,5.9,Drama
Beyond Borders,2021,91,127,5.7,Adventure
Beyond Paranormal,2021,102,214,2.8,Horror
Bhagat Singh Nagar,2021,134,591,8.2,Action
Bhavai,2021,114,2224,5.7,Drama
Bheemante Vazhi,2021,115,2000,6.3,Comedy
Bhoomi,2021,128,3353,4.7,Drama
Bhoot Police,2021,129,27625,6.7,Comedy
Bhramam,2021,152,1652,5.7,Thriller
Bhuj: The Pride of India,2021,113,25078,4.2,Action
Big Cat Trail,2021,75,129,3.1,Comedy
Big Night!,2021,105,238,7,Comedy
Bigfoot Famous,2021,89,418,4.3,Action
Bigfoot vs Megalodon,2021,71,211,2.8,Adventure
Bigfoot's Bride,2021,78,104,2.7,Horror
"Bigfoot, UFOs and Jesus",2021,98,192,3.6,Comedy
Bigger Is Beautiful,2021,105,100,4,Comedy
Bigger Than Us,2021,95,191,6.5,Documentary
Biggie: I Got a Story to Tell,2021,97,5678,6.8,Biography
Biking Borders,2021,90,1223,7.7,Documentary
Billie Eilish: The World's a Little Blurry,2021,140,9215,7.7,Biography
Bingo Hell,2021,85,2973,4.3,Comedy
Binti,2021,105,153,5.7,Drama
Bipolar,2021,107,145,6.4,Drama
Bird Atlas,2021,92,119,6,Drama
Birds of Paradise,2021,113,3113,5.9,Drama
Bisping,2021,110,735,7.6,Documentary
Bitchin': The Sound and Fury of Rick James,2021,111,742,7.3,Documentary
Bitcoin FUD,2021,60,119,7.3,Documentary
Bitterbrush,2021,90,130,7.1,Documentary
Bittersweet Sixteen,2021,102,210,5.5,Comedy
Bize Müsaade,2021,110,727,4.7,Comedy
Black Art: In the Absence of Light,2021,85,350,7.4,Documentary
Black Box,2021,129,17398,7.2,Drama
Black Coffee,2021,142,170,3.7,Comedy
Black Easter,2021,113,1065,3.2,Action
Black Friday,2021,84,9201,4.7,Comedy
Black Friday Subliminal,2021,92,306,5.3,Horror
Black Medicine,2021,90,324,5.6,Thriller
Black Medusa,2021,95,321,5.3,Drama
Black Power: A British Story of Resistance,2021,89,151,5.6,Documentary
Black Widow,2021,134,445864,6.6,Action
Black as Night,2021,87,2468,4.5,Drama
Blackout Love,2021,95,303,5.3,Comedy
Blackpink: The Movie,2021,100,1643,6.8,Documentary
Blackstock Boneyard,2021,80,156,3.2,Horror
Blame,2021,89,603,3.7,Action
Blast,2021,90,545,5,Drama
Blind Ambition,2021,96,318,7.1,Documentary
Bliss,2021,103,20961,5.4,Drama
Bliss,2021,91,553,5.5,Drama
Blonde. Purple,2021,129,144,4.1,Crime
Blood Born,2021,92,351,4.3,Horror
Blood Brothers: Civil War,2021,111,106,5.1,Mystery
Blood Brothers: Malcolm X & Muhammad Ali,2021,95,1257,6.9,Biography
Blood Conscious,2021,81,575,4.1,Horror
Blood Money,2021,90,406,6.4,Thriller
Blood Pageant,2021,115,326,2.3,Comedy
Blood Red Sky,2021,121,57304,6.1,Action
Blood on the Crown,2021,102,309,5.3,Drama
Bloodsuckers - A Marxist Vampire Comedy,2021,125,545,5.9,Comedy
Bloody Nun 2: The Curse,2021,70,278,1.4,Comedy
Bloody Oranges,2021,105,1297,6.4,Comedy
Bloody Romeo,2021,128,770,8.1,Crime
Bloody Summer Camp,2021,125,777,3.9,Comedy
Blue,2021,107,453,6.6,Drama
Blue Bayou,2021,117,11164,7.1,Crime
Blue Box,2021,82,125,7.4,Documentary
Blue Call,2021,81,207,3.8,Crime
Blue Miracle,2021,95,8283,6.6,Adventure
Blue Moon,2021,85,367,5.7,Drama
Blue Moon Ball,2021,95,193,5.1,Romance
Bob Biswas,2021,131,8034,6.7,Action
Bob Dylan: Odds and Ends,2021,116,102,6.6,Documentary
"Bob Ross: Happy Accidents, Betrayal & Greed",2021,92,6941,6.9,Documentary
Bob Spit: We Do Not Like People,2021,90,278,7,Animation
Body Brokers,2021,111,4021,6.2,Drama
Boiling Point,2021,92,46691,7.5,Drama
Bomma Adirindi Dhimma Tirigindi,2021,109,939,6.8,Comedy
Bony,2021,116,722,4.3,Sci-Fi
Boogie,2021,90,2626,5.2,Drama
Bookworm and the Beast,2021,83,355,5.3,Romance
Boomerang,2021,105,326,5.3,Comedy
Boomika,2021,123,2756,5,Horror
Bootlegger,2021,81,179,5.7,Drama
Bordertown: The Mural Murders,2021,107,3352,6.3,Crime
Borga,2021,104,258,6.2,Drama
Boris Karloff: The Man Behind the Monster,2021,99,428,7.6,Biography
Born Dead,2021,80,216,4.3,Horror
Born a Champion,2021,112,4967,6.8,Action
Born to Be Human,2021,105,104,7.2,Drama
Borrowed Future,2021,84,177,7.2,Documentary
