subject,age_months,program,vocab
13,132,Intervention,61.47441696978272
13,144,Intervention,70.06154872183562
13,156,Intervention,75.99082190571106
13,168,Intervention,72.78707348565831
13,180,Intervention,71.74939276822805
14,120,Control,49.00767082956847
14,132,Control,58.46224433535208
14,144,Control,61.24302727311647
14,156,Control,70.38293992997896
14,168,Control,76.43497182543199
14,180,Control,78.61145768243186
15,120,Control,38.402206906672504
15,132,Control,48.36222381935579
15,144,Control,50.08816061363365
15,156,Control,49.863337336249224
15,168,Control,62.004336503171636
15,180,Control,71.23533475910644
16,120,Control,44.16503365398966
16,132,Control,48.54654885935419
16,144,Control,54.99480266284619
16,156,Control,63.134182780727755
16,168,Control,64.64914521297133
16,180,Control,66.04670945132196
17,120,Intervention,63.63302622791539
17,132,Intervention,69.4849984736517
17,144,Intervention,63.04003961407541
17,156,Intervention,80.2496972524084
17,168,Intervention,80.89478596547248
17,180,Intervention,83.784922723455
18,120,Control,56.24294356033272
18,132,Control,46.23166924651437
18,144,Control,46.69503122393434
18,156,Control,46.50519421401153
18,168,Control,49.44483550940766
18,180,Control,51.915796548684824
19,120,Intervention,46.30471232767492
19,132,Intervention,53.356337435302564
19,144,Intervention,63.650528509151364
19,156,Intervention,72.77598343945243
19,168,Intervention,82.53542418434454
19,180,Intervention,87.76544884290986
20,120,Control,51.86695114326275
20,132,Control,55.7459156979805
20,144,Control,57.91952309800396
20,156,Control,54.55406209556405
20,168,Control,49.27684978951325
20,180,Control,50.46069947417373
21,120,Intervention,49.71500788804312
21,132,Intervention,64.68646031240118
21,144,Intervention,63.886271714817916
21,156,Intervention,77.58047913052224
21,168,Intervention,61.93413472846027
21,180,Intervention,73.57187478828585
22,120,Intervention,67.54677542031789
22,132,Intervention,57.302323659640614
22,144,Intervention,64.52829905690322
22,156,Intervention,68.64746762098865
22,168,Intervention,78.96510076475641
22,180,Intervention,73.0190799069166
23,120,Intervention,51.336260434322206
23,132,Intervention,62.052964833980425
23,144,Intervention,65.20666184799033
23,156,Intervention,65.89081054785186
23,168,Intervention,86.09010124844312
23,180,Intervention,97.34447871897675
24,120,Intervention,45.2197839574711
24,132,Intervention,53.132980721387945
24,144,Intervention,62.95285901394904
24,156,Intervention,63.818028581026354
24,168,Intervention,75.0245613931763
24,180,Intervention,74.4562869729225
25,120,Intervention,65.27280047438975
25,132,Intervention,77.82118227354434
25,144,Intervention,78.25724723597085
25,156,Intervention,87.18172183616029
25,168,Intervention,87.5943753547621
25,180,Intervention,90.12765728133894
26,120,Control,58.83804171024679
26,132,Control,68.84511103845426
26,144,Control,63.948844356457926
26,156,Control,66.42447537735939
26,168,Control,68.11750153482895
26,180,Control,56.692005529241186
27,120,Intervention,37.43213596216572
27,132,Intervention,48.0391556930019
27,144,Intervention,48.764714987259296
27,156,Intervention,53.87960601649741
27,168,Intervention,75.92660765133257
27,180,Intervention,68.6197161569063
28,120,Control,54.34292060090115
28,132,Control,61.915435463949855
28,144,Control,59.67542744707011
28,156,Control,58.61346868486536
28,168,Control,58.76140597082566
28,180,Control,64.40874903120364
29,120,Intervention,51.71700008858411
29,132,Intervention,57.92442340500374
29,144,Intervention,63.45580232522016
29,156,Intervention,75.46419053071664
29,168,Intervention,86.28368222261956
29,180,Intervention,89.6915632043845
30,120,Control,52.88564574838901
30,132,Control,55.17393525642192
30,144,Control,52.644499804228005
30,156,Control,47.956353549465994
30,168,Control,49.623811246374274
30,180,Control,48.09299572138452
31,120,Control,44.61707294297241
31,132,Control,60.40034380424932
31,144,Control,61.89975852681803
31,156,Control,69.00952731803243
31,168,Control,68.1537403901841
31,180,Control,68.57206193966663
32,120,Control,53.063132989606
32,132,Control,58.10890592809679
32,144,Control,66.09315959336105
32,156,Control,67.24281049058705
32,168,Control,67.81552733270533
32,180,Control,66.73947730260973
33,120,Control,40.042756644817416
33,132,Control,46.72205386017447
33,144,Control,42.64772795088283
33,156,Control,38.103845591537976
33,168,Control,45.89234231935579
33,180,Control,40.36231231015584
34,120,Intervention,39.34804791541718
34,132,Intervention,48.01925392035055
34,144,Intervention,65.07104986434669
34,156,Intervention,56.14768114554008
34,168,Intervention,72.57944739762591
34,180,Intervention,71.86113612803108
35,120,Intervention,46.941001429640004
35,132,Intervention,59.32363045316724
35,144,Intervention,64.63465410998153
35,156,Intervention,72.02941392770289
35,168,Intervention,70.41905491292628
35,180,Intervention,71.63633106135035
36,120,Intervention,39.91838567932239
36,132,Intervention,42.67959780196974
36,144,Intervention,57.795635589461746
36,156,Intervention,61.83582050091854
36,168,Intervention,68.3836744136264
36,180,Intervention,80.94386611660612
37,120,Intervention,52.448858186477246
37,132,Intervention,64.89948575839762
37,144,Intervention,63.643658905352346
37,156,Intervention,71.76013282292482
37,168,Intervention,74.28576951968378
37,180,Intervention,82.32123074240327
38,120,Intervention,44.20190939649443
38,132,Intervention,58.783564184696736
38,144,Intervention,63.755730295443556
38,156,Intervention,68.35716737674895
38,168,Intervention,82.48291768771414
38,180,Intervention,85.15329422797741
39,120,Control,58.43098101415788
39,132,Control,67.50363630919618
39,144,Control,71.79105853932127
39,156,Control,90.47929883434632
39,168,Control,82.94665801693269
39,180,Control,91.68763169303797
40,120,Intervention,50.28915670423816
40,132,Intervention,63.23685354133796
40,144,Intervention,61.28200256616429
40,156,Intervention,73.90770184181305
40,168,Intervention,74.04241540794516
40,180,Intervention,85.54001060111993
41,120,Control,52.252444329679136
41,132,Control,52.44146371553464
41,144,Control,60.60773640415792
41,156,Control,65.98146119395912
41,168,Control,57.295489140250446
41,180,Control,65.87573193327448
42,120,Control,46.00372451721833
42,132,Control,47.02646571091665
42,144,Control,55.389976440194616
42,156,Control,69.05300710033157
42,168,Control,65.0413395539789
42,180,Control,57.78304435140306
43,120,Control,66.34544588496887
43,132,Control,62.482547583223514
43,144,Control,70.73418823036947
43,156,Control,62.748720483296104
43,168,Control,69.57705689783963
43,180,Control,62.66802107769548
44,120,Intervention,55.694299998313376
44,132,Intervention,52.44417105395912
44,144,Intervention,60.963793114304785
44,156,Intervention,73.86490561057589
44,168,Intervention,81.78394736559818
44,180,Intervention,83.70293346398971
45,120,Intervention,39.16525006470343
45,132,Intervention,50.394489418800234
45,144,Intervention,55.534326685370736
45,156,Intervention,58.052351185844415
45,168,Intervention,69.85442016732313
45,180,Intervention,74.50385179869178
46,120,Control,61.854535362548575
46,132,Control,68.08785014451264
46,144,Control,64.28715569127169
46,156,Control,63.65832941123623
46,168,Control,57.393124157574476
46,180,Control,60.825283782432365
47,120,Intervention,42.40247282478141
47,132,Intervention,44.11395540722005
47,144,Intervention,60.17765856429505
47,156,Intervention,63.77635758244501
47,168,Intervention,71.61619864799275
47,180,Intervention,84.28446297591036
48,120,Intervention,64.24884053509165
48,132,Intervention,66.6659037538685
48,144,Intervention,67.64484656513972
48,156,Intervention,68.53163446556789
48,168,Intervention,76.04932873608006
48,180,Intervention,75.17371918722704
49,120,Intervention,37.72649763544793
49,132,Intervention,54.993293109783906
49,144,Intervention,56.384656664842595
49,156,Intervention,73.70259906294194
49,168,Intervention,78.45401421194005
49,180,Intervention,83.3740408081425
50,120,Control,54.69098414785883
50,132,Control,58.220340140299015
50,144,Control,60.25853462692058
50,156,Control,55.554629095385806
50,168,Control,60.4578178743463
50,180,Control,61.347669080103124
51,120,Intervention,52.46060107055707
51,132,Intervention,55.43407388553241
51,144,Intervention,63.63985379918843
51,156,Intervention,68.92939190057565
51,168,Intervention,75.56817420528145
51,180,Intervention,72.78795552878887
52,120,Control,49.71646844519044
52,132,Control,57.223256568030614
52,144,Control,59.899320451405224
52,156,Control,64.76614646615579
52,168,Control,62.87327219990486
52,180,Control,66.84842863096463
53,120,Intervention,56.12380877592027
53,132,Intervention,71.353447938527
53,144,Intervention,73.13191298394511
53,156,Intervention,74.16793003374083
53,168,Intervention,80.21793071343122
53,180,Intervention,92.95923653860469
54,120,Intervention,56.31210764753263
54,132,Intervention,65.99247250270749
54,144,Intervention,58.52622931255246
54,156,Intervention,77.75934446081227
54,168,Intervention,85.85580209600145
54,180,Intervention,89.6510402613378
55,120,Intervention,43.56153623279128
55,132,Intervention,49.293197317023356
55,144,Intervention,67.98465454181184
55,156,Intervention,75.92703462645034
55,168,Intervention,93.34127637157033
55,180,Intervention,94.24446972094539
56,120,Control,51.37541457989232
56,132,Control,58.460900507247246
56,144,Control,72.8765143289284
56,156,Control,72.60493868884187
56,168,Control,86.86891087569515
56,180,Control,91.51458760520497
57,120,Control,61.03224218032996
57,132,Control,63.165014770568256
57,144,Control,63.28721238748918
57,156,Control,74.47263406442073
57,168,Control,77.12185120231656
57,180,Control,71.08655277269085
58,120,Intervention,42.88221057427527
58,132,Intervention,49.02655318420511
58,144,Intervention,67.29194860072602
58,156,Intervention,54.658465023928024
58,168,Intervention,71.49152337542273
58,180,Intervention,82.07791440629248
59,120,Control,46.99877984160922
59,132,Control,46.103714626973726
59,144,Control,50.374642488155814
59,156,Control,59.399123469783255
59,168,Control,57.80725302991501
59,180,Control,70.91183236443928
60,120,Control,58.50261793664164
60,132,Control,62.19276719341965
60,144,Control,68.50976128282183
60,156,Control,62.5786269644721
60,168,Control,66.92574327009893
60,180,Control,59.4756539220111
61,120,Control,54.17497163941347
61,132,Control,55.25802307425626
61,144,Control,56.20754861052108
61,156,Control,52.76350551080274
61,168,Control,61.5113900428297
61,180,Control,64.15220895897313
62,120,Intervention,58.807620369271206
62,132,Intervention,54.26082153722684
62,144,Intervention,55.54023884613716
62,156,Intervention,51.86118978251367
62,168,Intervention,59.42355834618359
62,180,Intervention,58.43854099640899
63,120,Control,53.33797581067318
63,132,Control,55.16095477542037
63,144,Control,55.53583206763278
63,156,Control,57.95286585685906
63,168,Control,62.91935516003401
63,180,Control,58.08184724945478
64,120,Intervention,50.892987320897305
64,132,Intervention,49.70727626342396
64,144,Intervention,66.66026416005188
64,156,Intervention,68.50332984048227
64,168,Intervention,69.54632993245805
64,180,Intervention,71.03716995896507
65,120,Control,44.342448412616555
65,132,Control,54.07424109094057
65,144,Control,56.236931442555466
65,156,Control,51.3056695800785
65,168,Control,61.290291938480884
65,180,Control,59.95636936704782
66,120,Intervention,47.15548057306693
66,132,Intervention,44.70168815879748
66,144,Intervention,61.44255515270684
66,156,Intervention,66.02185244050982
66,168,Intervention,68.10550414818454
66,180,Intervention,63.48096532340998
67,120,Intervention,37.382587293281226
67,132,Intervention,47.28735800396297
67,144,Intervention,64.09508939748805
67,156,Intervention,62.08753409755095
67,168,Intervention,75.47521309888235
67,180,Intervention,84.92674810029511
68,120,Intervention,58.6911693499586
68,132,Intervention,66.66896314393256
68,144,Intervention,72.20937389807159
68,156,Intervention,73.44517375720912
68,168,Intervention,86.45620280828538
68,180,Intervention,87.55116035904925
69,120,Control,37.4406848542731
69,132,Control,40.696755632391366
69,144,Control,46.9849361845524
69,156,Control,42.91820234234452
69,168,Control,43.82014934920923
69,180,Control,42.6204663698571
70,120,Intervention,49.95849022840537
70,132,Intervention,47.37208616185881
70,144,Intervention,59.31471984012119
70,156,Intervention,68.47571967360831
70,168,Intervention,70.18953959279919
70,180,Intervention,89.90162002226643
71,120,Control,50.70417874303065
71,132,Control,49.835044034084845
71,144,Control,55.46016342598205
71,156,Control,52.48863995727871
71,168,Control,57.03690064114633
71,180,Control,61.372170257500365
72,120,Control,55.625525199123864
72,132,Control,60.06505048668297
72,144,Control,60.87941677148192
72,156,Control,72.46895522759995
72,168,Control,65.33347522648629
72,180,Control,62.2541729965553
73,120,Intervention,49.13959569424027
73,132,Intervention,65.90621628416393
73,144,Intervention,73.69838090764576
73,156,Intervention,80.9106004662727
73,168,Intervention,85.79552091165691
73,180,Intervention,90.79458653612605
74,120,Control,54.23198855781223
74,132,Control,69.47334858303829
74,144,Control,70.74385972472669
74,156,Control,68.97495874515961
74,168,Control,74.98308061619903
74,180,Control,69.00949612365828
75,120,Control,56.878197981781405
75,132,Control,57.642245744614314
75,144,Control,54.73270776964014
75,156,Control,63.0984506622004
75,168,Control,65.97123899317052
75,180,Control,66.72898103706542
76,120,Intervention,43.54765210391735
76,132,Intervention,51.36331212068333
76,144,Intervention,59.930666244966304
76,156,Intervention,74.38155017343524
76,168,Intervention,80.82207433962739
76,180,Intervention,78.79766727701572
77,120,Intervention,58.32163647462847
77,132,Intervention,68.47945446673275
77,144,Intervention,79.03725200321765
77,156,Intervention,79.81553866348207
77,168,Intervention,96.9554252464171
77,180,Intervention,92.97840663209546
78,120,Control,63.64165989980006
78,132,Control,67.75300581009822
78,144,Control,68.00062828034334
78,156,Control,71.60384600828696
78,168,Control,71.90482314502603
78,180,Control,67.03638065963372
79,120,Control,46.05408954097011
79,132,Control,49.58888026321691
79,144,Control,55.48989317103448
79,156,Control,56.66477844286613
79,168,Control,61.56966222326974
79,180,Control,53.58780302150571
80,120,Intervention,40.613954711199824
80,132,Intervention,56.163671200595765
80,144,Intervention,57.826210879786714
80,156,Intervention,64.12347205240033
80,168,Intervention,66.85975285114301
80,180,Intervention,77.4048430030798
81,120,Intervention,47.28150969676093
81,132,Intervention,41.499495790474505
81,144,Intervention,55.99390332625349
81,156,Intervention,70.61000229387182
81,168,Intervention,74.74139497656175
81,180,Intervention,75.44128830335994
82,120,Intervention,31.27482593259729
82,132,Intervention,44.64119089844294
82,144,Intervention,39.0458928335906
82,156,Intervention,65.50650260123867
82,168,Intervention,65.76319431535994
82,180,Intervention,77.56635947090571
83,120,Control,35.03846244206851
83,132,Control,45.161231513695945
83,144,Control,54.007288058554025
83,156,Control,64.09666422137644
83,168,Control,62.65440395480191
83,180,Control,66.0813270927077
84,120,Intervention,55.37016544410846
84,132,Intervention,62.45783622119591
84,144,Intervention,69.3711860610292
84,156,Intervention,72.87306266921726
84,168,Intervention,70.22518698076142
84,180,Intervention,86.72598462016558
85,120,Control,45.876299288642514
85,132,Control,51.599309977044676
85,144,Control,55.69196944566673
85,156,Control,64.18278729445797
85,168,Control,64.00209313194313
85,180,Control,58.66538380295265
86,120,Intervention,60.84140172806901
86,132,Intervention,67.86682058217565
86,144,Intervention,67.67294810397571
86,156,Intervention,82.86095265539174
86,168,Intervention,84.54841683597746
86,180,Intervention,93.33713775345075
87,120,Control,54.776231362486115
87,132,Control,59.14370671462116
87,144,Control,58.98328482131694
87,156,Control,73.44388964329008
87,168,Control,82.41303284435848
87,180,Control,80.23252765952172
88,120,Control,42.729103859452
88,132,Control,54.710274669425836
88,144,Control,60.79357675970474
88,156,Control,58.2681149248961
88,168,Control,63.84626913403575
88,180,Control,66.96567097350953
89,120,Intervention,52.712973867724514
89,132,Intervention,58.462172530741505
89,144,Intervention,66.58613296867485
89,156,Intervention,63.726545505657754
89,168,Intervention,70.32334539583506
89,180,Intervention,78.81558551302984
90,120,Control,30.629575991877218
90,132,Control,32.661463612384686
90,144,Control,38.17459474907687
90,156,Control,46.19197677117358
90,168,Control,54.08795018465666
90,180,Control,51.6259585214588
91,120,Control,43.72775049089718
91,132,Control,40.89974733928149
91,144,Control,44.91022954262217
91,156,Control,50.45111207132699
91,168,Control,51.04396006849319
91,180,Control,49.152846154134224
92,120,Intervention,31.63027379556295
92,132,Intervention,44.95778532958805
92,144,Intervention,65.18560877032783
92,156,Intervention,72.73567842269107
92,168,Intervention,81.92246283863469
92,180,Intervention,85.99957769803966
93,120,Control,49.40238845452754
93,132,Control,55.47938837839442
93,144,Control,62.830727710770404
93,156,Control,57.576051146845785
93,168,Control,67.40969790389522
93,180,Control,59.26904863570744
94,120,Control,38.238791470905305
94,132,Control,41.042940499944535
94,144,Control,35.15712334100488
94,156,Control,46.57161379312885
94,168,Control,47.723701065660435
94,180,Control,41.29975492944675
95,120,Control,59.06829985897358
95,132,Control,69.63444816071635
95,144,Control,61.399526861814316
95,156,Control,63.064599333474405
95,168,Control,63.13615026930685
95,180,Control,61.844252318722376
96,120,Intervention,40.35015892989446
96,132,Intervention,43.07817209452625
96,144,Intervention,45.08611912330406
96,156,Intervention,46.715982269451416
96,168,Intervention,61.094428017707195
96,180,Intervention,69.9069797216505
97,120,Intervention,44.889243113019916
97,132,Intervention,62.50208202064357
97,144,Intervention,69.16406680042938
97,156,Intervention,70.07414729158886
97,168,Intervention,78.85155334948887
97,180,Intervention,80.93773566900066
98,120,Control,58.36524721731618
98,132,Control,51.99386999814106
98,144,Control,60.37776027083174
98,156,Control,67.82680638961115
98,168,Control,64.23761505464859
98,180,Control,59.54292759937127
99,120,Intervention,48.01883033571181
99,132,Intervention,57.84976438034287
99,144,Intervention,61.48522523394235
99,156,Intervention,66.25828906588765
99,168,Intervention,69.72592439001934
99,180,Intervention,74.52018343172702
100,120,Intervention,61.26117931371173
100,132,Intervention,71.65927891750587
100,144,Intervention,83.99755612086578
100,156,Intervention,88.33589809736134
100,168,Intervention,93.66466668264073
100,180,Intervention,104.81011638953235
101,120,Control,54.20919963756735
101,132,Control,51.793679343260145
101,144,Control,48.11314323197712
101,156,Control,49.99287782842072
101,168,Control,48.605714615497554
101,180,Control,45.701508937885954
102,120,Control,54.5857111668407
102,132,Control,52.698858851684896
102,144,Control,55.44073527051378
102,156,Control,58.29962668832485
102,168,Control,65.08975670648655
102,180,Control,74.19068882917463
103,120,Intervention,52.41073347190049
103,132,Intervention,53.27856809654695
103,144,Intervention,64.9310907642104
103,156,Intervention,67.32779948644388
103,168,Intervention,69.98509724314006
103,180,Intervention,83.81232664584172
104,120,Intervention,37.19107748531621
104,132,Intervention,56.27082746344749
104,144,Intervention,63.315541331044344
104,156,Intervention,73.15119704009783
104,168,Intervention,76.62612694828921
104,180,Intervention,77.75257841008442
105,120,Intervention,39.51177766633755
105,132,Intervention,49.85434742063203
105,144,Intervention,54.1505201744125
105,156,Intervention,62.002282504379785
105,168,Intervention,76.16713183877161
105,180,Intervention,85.76844816520918
106,120,Control,64.3796587592045
106,132,Control,73.34063426114665
106,144,Control,79.21347303956915
106,156,Control,79.62384081568868
106,168,Control,82.87669894685564
106,180,Control,86.94999676718693
107,120,Control,60.00639878556267
107,132,Control,61.54074930198399
107,144,Control,73.03953945693988
107,156,Control,71.97608865613464
107,168,Control,78.8604674400068
107,180,Control,79.82975755191156
108,120,Intervention,53.43936740592854
108,132,Intervention,57.79793980073041
108,144,Intervention,66.08725545023304
108,156,Intervention,63.765107142310114
108,168,Intervention,77.59683627326916
108,180,Intervention,77.9458018786495
109,120,Intervention,43.096307012640715
109,132,Intervention,49.018938988002205
109,144,Intervention,43.520409471549364
109,156,Intervention,48.91288685648401
109,168,Intervention,62.56157274548876
109,180,Intervention,61.84018305202046
110,120,Control,47.303498331798934
110,132,Control,54.985273623367334
110,144,Control,59.538718840853356
110,156,Control,55.43022884644159
110,168,Control,65.97676894125438
110,180,Control,66.19961236229568
111,120,Intervention,50.6865343944493
111,132,Intervention,56.14765701971419
111,144,Intervention,59.54141876661997
111,156,Intervention,76.02405838168957
111,168,Intervention,75.69318691574797
111,180,Intervention,90.70677175944067
112,120,Intervention,31.795190892860415
112,132,Intervention,28.336832788066353
112,144,Intervention,38.39420210785366
112,156,Intervention,25.40294071342459
112,168,Intervention,34.696857162785264
112,180,Intervention,35.28779106250911
113,120,Intervention,42.79924738152674
113,132,Intervention,51.0177150438627
113,144,Intervention,53.65412257539189
113,156,Intervention,52.895332593555
113,168,Intervention,65.11477032854611
113,180,Intervention,58.845762975140374
114,120,Intervention,35.565480160441865
114,132,Intervention,41.901682524872406
114,144,Intervention,42.10349485741042
114,156,Intervention,50.453255120374635
114,168,Intervention,51.031424898318384
114,180,Intervention,54.7404703317332
115,120,Control,59.54135098196686
115,132,Control,64.4036989858887
115,144,Control,68.55906197693676
115,156,Control,65.13338801667524
115,168,Control,72.40205281615955
115,180,Control,68.08793904236137
116,120,Control,47.501329585621946
116,132,Control,54.207045355994225
116,144,Control,43.78925147706252
116,156,Control,54.518960943101085
116,168,Control,45.7126552270456
116,180,Control,40.803989259814706
117,120,Control,34.49581182091537
117,132,Control,38.24140836445204
117,144,Control,41.40292496820088
117,156,Control,40.58719266328292
117,168,Control,45.139573280576855
117,180,Control,48.638520537697175
118,120,Control,53.615981185948534
118,132,Control,49.563487140152255
118,144,Control,55.18781777811591
118,156,Control,58.64936123302926
118,168,Control,61.906476540172804
118,180,Control,53.518268263107224
119,120,Intervention,55.927668020317235
119,132,Intervention,59.263704174886264
119,144,Intervention,74.24095652278132
119,156,Intervention,81.1716096823306
119,168,Intervention,78.90984874179176
119,180,Intervention,93.13674770616564
120,120,Intervention,58.63297655821768
120,132,Intervention,61.49778968026962
120,144,Intervention,64.06519293644973
120,156,Intervention,78.3721148827281
120,168,Intervention,78.8804997375033
120,180,Intervention,93.64910916413915
121,120,Control,55.831684898324745
121,132,Control,56.11119876773873
121,144,Control,62.19741311507562
121,156,Control,71.01607906512344
121,168,Control,65.66606429047988
121,180,Control,74.65149328181397
122,120,Control,53.098969486624924
122,132,Control,52.73614754697266
122,144,Control,62.585711542782214
122,156,Control,66.06905113369537
122,168,Control,71.39205073750571
122,180,Control,72.10716565415787
123,120,Intervention,56.99109560735538
123,132,Intervention,61.83047153594749
123,144,Intervention,68.13363297112267
123,156,Intervention,66.1094635836345
123,168,Intervention,79.61502076629907
123,180,Intervention,78.96889539321194
124,120,Intervention,55.04270108144308
124,132,Intervention,64.18729709775123
124,144,Intervention,71.07681311553743
124,156,Intervention,68.6978179939425
124,168,Intervention,81.62554502209592
124,180,Intervention,85.11849131819227
125,120,Control,54.32147051369611
125,132,Control,59.99931640160123
125,144,Control,75.20189047224981
125,156,Control,73.68164558349794
125,168,Control,75.11519316905253
125,180,Control,79.3297936092901
126,120,Control,52.2994536817046
126,132,Control,60.30003325170555
126,144,Control,56.796051101525684
126,156,Control,75.31222388411092
126,168,Control,70.45568538470428
126,180,Control,79.93543811437578
127,120,Control,47.13144625265567
127,132,Control,56.19383999674449
127,144,Control,50.25184054923421
127,156,Control,63.825868920880865
127,168,Control,67.63732823771795
127,180,Control,60.27418776696891
128,120,Control,58.21597681565159
128,132,Control,67.16526162428671
128,144,Control,79.85044678658113
128,156,Control,77.35171167149873
128,168,Control,86.69563496136264
128,180,Control,88.29654778580031
129,120,Control,50.10930293164086
129,132,Control,59.356975471346274
129,144,Control,64.41559981563164
129,156,Control,67.97028563379992
129,168,Control,63.83021113334112
129,180,Control,73.11634175357712
130,120,Intervention,59.977089464495755
130,132,Intervention,65.78841064588323
130,144,Intervention,76.4999733451735
130,156,Intervention,79.94999485622392
130,168,Intervention,84.48995621733475
130,180,Intervention,89.38347488182387
131,120,Intervention,58.67691894017391
131,132,Intervention,56.23680145126965
131,144,Intervention,60.010848902745714
131,156,Intervention,67.24397471076593
131,168,Intervention,69.6012933942844
131,180,Intervention,77.8703037081292
132,120,Control,46.749452865045384
132,132,Control,49.29950913459238
132,144,Control,50.51907125828225
132,156,Control,60.43864532922367
132,168,Control,63.61608623085692
132,180,Control,61.87407367603307
133,120,Control,52.41023395455887
133,132,Control,52.77641902301346
133,144,Control,60.330685233781416
133,156,Control,63.763177767894476
133,168,Control,73.36353617166176
133,180,Control,60.161173886410786
134,120,Intervention,59.59113192014343
134,132,Intervention,62.589993989996614
134,144,Intervention,64.43397757756318
134,156,Intervention,65.33265544432713
134,168,Intervention,72.5660190303466
134,180,Intervention,84.13570099196515
135,120,Control,45.31900948198599
135,132,Control,49.274605582042156
135,144,Control,45.01850851946865
135,156,Control,42.419210003760284
135,168,Control,44.69472444298993
135,180,Control,48.91002174712631
136,120,Intervention,53.99468149305494
136,132,Intervention,56.50668968891359
136,144,Intervention,56.52843783710051
136,156,Intervention,73.674210860525
136,168,Intervention,69.78659914673831
136,180,Intervention,92.9309304871004
137,120,Control,45.071869165024786
137,132,Control,46.29498397397976
137,144,Control,48.93130857136438
137,156,Control,50.28466454191506
137,168,Control,46.41289288048378
137,180,Control,51.0679321576605
138,120,Control,71.95047098313673
138,132,Control,70.70728360273313
138,144,Control,70.72764356271331
138,156,Control,70.99012279200326
138,168,Control,68.18379777958566
138,180,Control,54.72966183225525
139,120,Control,43.98029966949258
139,132,Control,46.728978749264655
139,144,Control,66.46918141509585
139,156,Control,62.468687858290004
139,168,Control,67.22081085538456
139,180,Control,72.94656839160048
140,120,Control,53.18717478734447
140,132,Control,51.00271015910706
140,144,Control,56.04129833468862
140,156,Control,57.5152275372707
140,168,Control,55.521778759602746
140,180,Control,64.8200404108117
141,120,Intervention,49.16809731626884
141,132,Intervention,59.17126179255227
141,144,Intervention,65.52729320232288
141,156,Intervention,63.338655896239416
141,168,Intervention,73.96316025087248
141,180,Intervention,79.85668604755449
142,120,Control,70.32226879669483
142,132,Control,76.07158531779885
142,144,Control,80.2306550498179
142,156,Control,88.6464307755726
142,168,Control,86.40696495589425
142,180,Control,89.56449120996531
143,120,Control,46.82260604556437
143,132,Control,50.25438851779029
143,144,Control,46.74740277914988
143,156,Control,52.17162811770221
143,168,Control,60.514714613555675
143,180,Control,54.266189070473416
144,120,Control,51.2640487134273
144,132,Control,56.09063550323887
144,144,Control,76.81526696174603
144,156,Control,76.05152782476559
144,168,Control,82.48889943086556
144,180,Control,86.51751708708753
145,120,Intervention,27.484407792486078
145,132,Intervention,39.60660151332232
145,144,Intervention,53.82918720171643
145,156,Intervention,60.00067648162142
145,168,Intervention,64.13695802164716
145,180,Intervention,72.61415187969992
146,120,Control,45.347310912969554
146,132,Control,61.86590876266145
146,144,Control,70.71751566941523
146,156,Control,63.938072099872585
146,168,Control,61.84072872373249
146,180,Control,60.7759325913108
