school,student,female,ses,math,puniv,public
5,4572,0,-0.025,60.34,1,0
5,4573,0,-0.313,45.71,1,0
5,4574,0,-0.479,39.86,1,0
5,4575,0,0.518,59.63,1,0
5,4576,1,-0.794,35.09,1,0
5,4577,1,-0.8,37.13,1,0
5,4578,1,-0.118,40.09,1,0
5,4579,1,-0.614,48.24,1,0
5,4580,0,-0.93,50.41,1,0
5,4581,0,-0.449,53.73,1,0
5,4582,0,-0.397,34.86,1,0
5,4583,0,-0.686,52.71,1,0
6,89,1,-1.434,60.5769,1,0
6,318,0,-0.122,58.96,1,0
6,319,1,0.064,60.5822,1,0
6,320,1,1.154,67.07,1,0
6,321,1,0.385,68.1,1,0
6,322,1,0.132,69.18,1,0
6,323,0,1.286,60.5822,1,0
6,324,1,-0.363,72.59,1,0
6,325,0,1.542,60.5822,1,0
6,326,0,0.287,60.5822,1,0
6,327,1,-0.524,60.5822,1,0
6,328,0,0.492,60.5822,1,0
6,329,0,0.352,60.5822,1,0
6,330,1,-0.043,60.5822,1,0
6,352,0,-0.12,48.93,1,0
6,412,0,0.963,46.44,1,0
7,898,1,1.036,60.5936,1,1
7,899,0,0.249,65.26,1,1
7,900,0,1.361,58.76,1,1
7,901,0,0.11,58.51,1,1
7,902,0,-1.026,59.53,1,1
7,903,1,0.128,69.58,1,1
7,904,1,-0.489,39.32,1,1
7,905,0,-0.979,60.5936,1,1
7,906,1,0.909,69.44,1,1
7,907,0,0.613,62.11,1,1
7,908,0,0.302,71.43,1,1
7,909,1,-0.829,52.21,1,1
7,910,1,1.436,60.5936,1,1
7,911,1,-0.419,38.3,1,1
7,912,1,-0.668,42.53,1,1
7,913,0,1.059,49.22,1,1
8,3419,1,0.745,51.86,1,1
8,3420,1,0.842,72.55,1,1
8,3421,0,1.084,70.82,1,1
8,3422,0,1.132,59.53,1,1
8,3423,1,1.231,70.03,1,1
8,3424,1,0.881,70.83,1,1
8,3425,0,0.619,58.19,1,1
8,3426,0,0.147,57.55,1,1
8,3427,1,0.82,64.26,1,1
8,3428,0,0.479,60.36,1,1
8,3429,0,0.024,47.49,1,1
8,3430,0,-0.134,46.96,1,1
8,3431,0,1.58,66.42,1,1
8,3432,1,1.419,53.23,1,1
8,3433,1,0.81,66.77,1,1
8,3434,0,0.349,61.6638,1,1
8,3435,1,-0.305,41.33,1,1
8,3436,1,0.087,54.56,1,1
8,3437,0,0.672,61.6638,1,1
8,3438,1,0,61.6638,1,1
8,3439,1,1.057,70.83,1,1
8,3440,0,0.747,73.7,1,1
8,3441,1,0.531,54.48,1,1
8,3442,0,0.303,61.6638,1,1
8,3443,1,0.607,78.18,1,1
8,3444,0,-0.02,61.6638,1,1
9,5122,0,-0.485,58.24,0.235294118,1
9,5123,1,-1.422,63.02,0.235294118,1
9,5124,0,0.032,62.3718,0.235294118,1
9,5125,1,-1.19,38.76,0.235294118,1
9,5126,1,0.452,57.97,0.235294118,1
9,5127,1,0.729,59.16,0.235294118,1
9,5128,1,-0.149,50.33,0.235294118,1
9,5129,1,-0.124,56.87,0.235294118,1
9,5130,1,-0.521,37.07,0.235294118,1
9,5131,1,-0.453,52.5,0.235294118,1
9,5132,0,-0.451,53.96,0.235294118,1
9,5133,0,-0.666,57.96,0.235294118,1
9,5134,1,0.46,55.17,0.235294118,1
9,5135,1,0.077,56.35,0.235294118,1
9,5136,0,-1.177,49.48,0.235294118,1
9,5137,0,0.241,72.94,0.235294118,1
9,5138,1,0.311,49.74,0.235294118,1
10,4516,0,0.414,67.78,1,1
10,4517,0,0.303,65.82,1,1
10,4518,1,1.36,74.69,1,1
10,4519,1,0.355,62.2759,1,1
10,4520,1,-0.184,61.71,1,1
10,4521,1,0.36,56.35,1,1
10,4522,1,-0.418,59.92,1,1
10,4523,0,0.35,62.2759,1,1
10,4524,0,0.456,62.2759,1,1
10,4525,0,-0.122,50.22,1,1
10,4526,1,0.198,52.16,1,1
10,4527,1,0.936,54.44,1,1
10,4528,1,0.404,65.11,1,1
10,4529,1,0.787,67.38,1,1
10,4530,1,-0.216,59.61,1,1
10,4531,1,-0.056,66.98,1,1
10,4532,0,-0.072,62.2759,1,1
10,4533,0,0.54,55.71,1,1
10,4534,0,0.202,62.2759,1,1
10,4986,0,0.378,62.3672,1,1
11,4065,0,0.378,70.83,1,1
11,4066,0,0.545,62.2638,1,1
11,4067,1,0.513,55.11,1,1
11,4068,0,-0.074,59.15,1,1
11,4069,1,0.027,50.75,1,1
11,4070,0,-0.296,42.86,1,1
11,4071,0,0.585,49.24,1,1
11,4072,1,-0.49,53,1,1
11,4073,0,-0.062,67.24,1,1
11,4074,0,-0.282,40.62,1,1
11,4075,0,0.339,38.42,1,1
11,4076,0,0.57,62.2639,1,1
11,4077,0,1.436,68.61,1,1
11,4078,1,1.608,62.2639,1,1
11,4079,0,-0.321,63.48,1,1
11,4080,1,-0.256,57.93,1,1
11,4081,0,-1.322,49.05,1,1
11,4082,0,0.755,62.2639,1,1
12,509,1,0.058,64.93,1,1
12,510,1,0.261,60.5861,1,1
12,511,1,0.424,60.5861,1,1
12,512,1,-0.489,52.86,1,1
12,513,1,1.189,60.5861,1,1
12,514,1,-0.859,42.34,1,1
12,515,0,0.47,60.5861,1,1
12,516,0,0.009,34.05,1,1
12,517,0,1.189,60.5861,1,1
12,518,0,-0.521,50.53,1,1
12,519,0,0.099,60.5861,1,1
12,520,1,-0.087,51.76,1,1
13,1720,1,-1.991,61.0544,1,1
13,1721,0,1.132,61.0544,1,1
13,1722,1,-0.92,61.0544,1,1
13,1723,1,-1.545,61.0544,1,1
13,1724,0,-0.448,61.0544,1,1
13,1725,1,-0.303,61.0544,1,1
13,1726,1,-0.85,61.0544,1,1
13,1727,1,-1.067,61.0544,1,1
13,1728,0,0.449,66.45,1,1
13,1729,0,0.997,53.17,1,1
13,1730,0,1.211,56.54,1,1
13,1731,1,1.306,61.0544,1,1
13,1732,1,-0.259,61.0544,1,1
13,1733,1,-0.468,64.67,1,1
13,1734,1,-1.545,37.62,1,1
13,1735,1,-0.794,47.6,1,1
14,4621,0,-0.525,62.2779,1,1
14,4622,1,0.318,66.88,1,1
14,4623,1,-1.529,46.69,1,1
14,4624,1,0.359,64.18,1,1
14,4625,1,0.154,60.56,1,1
14,4626,1,0.191,62.2779,1,1
14,4627,0,-0.644,41.23,1,1
14,4628,1,-0.886,56.08,1,1
14,4629,0,-0.037,58.66,1,1
14,4630,1,-0.284,66.45,1,1
14,4631,1,-0.075,62.2779,1,1
14,4632,1,-1.154,62.2779,1,1
14,4633,0,-0.493,38.47,1,1
14,4634,0,-1.491,62.2779,1,1
15,6816,0,1.552,62.7134,1,1
15,6817,0,1.338,62.7134,1,1
15,6818,0,-0.719,63.45,1,1
15,6819,1,1.779,64.1,1,1
15,6820,0,0.385,62.7147,1,1
15,6821,0,1.734,62.7147,1,1
15,6822,0,0.825,62.7147,1,1
15,6823,0,1.364,62.7147,1,1
15,6824,0,0.269,62.7147,1,1
15,6825,1,1.533,62.7147,1,1
15,6826,0,0.037,62.7147,1,1
15,6827,1,0.922,62.7147,1,1
15,6828,0,1.379,62.7147,1,1
15,6829,1,1.309,62.7147,1,1
15,6830,1,1.264,65.22,1,1
15,6831,0,0.673,74.84,1,1
15,6832,1,1.683,62.19,1,1
15,6833,1,1.381,62.7147,1,1
15,6834,1,1.533,62.7147,1,1
15,6835,1,0.725,62.7149,1,1
16,613,0,-0.308,60.5877,0.538461538,0
16,614,0,0.666,51.95,0.538461538,0
16,615,1,-0.31,36.57,0.538461538,0
16,616,1,-0.865,60.5877,0.538461538,0
16,617,0,0.162,60.5877,0.538461538,0
16,618,1,0.152,60.5877,0.538461538,0
16,619,1,-0.199,42.39,0.538461538,0
16,620,1,0.45,60.5877,0.538461538,0
16,621,1,0.312,55.17,0.538461538,0
16,622,0,-0.285,60.5878,0.538461538,0
16,623,1,-1.235,60.5878,0.538461538,0
16,624,0,-0.792,58.29,0.538461538,0
16,625,1,0.055,50.71,0.538461538,0
17,6605,1,0.106,62.5487,1,0
17,6606,1,-0.979,45.29,1,0
17,6607,0,-0.627,34.91,1,0
17,6608,0,0.7,62.5487,1,0
17,6609,1,-0.796,50.65,1,0
17,6610,0,-0.506,62.5487,1,0
17,6611,1,-0.847,47.34,1,0
17,6612,1,-0.145,59.59,1,0
17,6613,1,-0.883,44.71,1,0
17,6614,1,-0.676,51.2,1,0
17,6615,0,0.705,58.16,1,0
17,6616,1,0.232,47.82,1,0
17,6617,0,0.712,62.5487,1,0
17,6618,0,-0.036,53.81,1,0
17,6619,0,-0.676,49.59,1,0
17,6620,0,0.038,55.57,1,0
17,6621,1,-1.463,56.65,1,0
17,6622,0,0.498,65.44,1,0
17,6623,1,0.828,62.5487,1,0
18,5715,1,0.99,62.3885,1,0
18,5716,1,0.96,62.3885,1,0
18,5717,0,1.085,62.3885,1,0
18,5718,1,-0.109,44.69,1,0
18,5719,1,0.81,69.78,1,0
18,5720,0,0.564,64.86,1,0
18,5721,0,-0.095,62.3885,1,0
18,5722,1,1.159,58.35,1,0
18,5723,1,0.177,59.1,1,0
18,5724,0,0.697,73.52,1,0
18,5725,1,0.337,62.3885,1,0
18,5726,0,-0.455,62.3885,1,0
18,5727,1,1.06,62.3885,1,0
18,5728,0,1.456,69.89,1,0
18,5729,1,1.132,55.27,1,0
19,1916,0,-0.725,62.89,1,0
19,1970,0,-1.217,61.0731,1,0
19,1971,1,-1.054,49.08,1,0
19,1972,0,-1.866,61.0731,1,0
19,1973,0,-1.249,48.36,1,0
19,1974,1,-1.671,61.0731,1,0
19,1975,1,-2.137,61.0731,1,0
19,1976,1,0.835,50.44,1,0
19,1977,1,-1.321,61.0731,1,0
19,1978,1,-1.507,62.26,1,0
19,1979,0,-1.581,45.88,1,0
19,1980,0,-1.498,61.0731,1,0
19,1981,0,-1.572,59.41,1,0
19,1982,0,-1.581,61.0731,1,0
19,1983,1,-1.307,60.58,1,0
20,5987,0,-0.48,62.51,0.538461538,0
20,5988,0,0.856,61.39,0.538461538,0
20,5989,0,1.211,62.51,0.538461538,0
20,5990,1,0.34,62.51,0.538461538,0
20,5991,1,-0.158,60.04,0.538461538,0
20,5992,1,0.122,51,0.538461538,0
20,5993,1,0.885,50.42,0.538461538,0
20,5994,1,-0.963,60.96,0.538461538,0
20,5995,0,0.601,62.51,0.538461538,0
20,5996,1,0.216,47.21,0.538461538,0
20,5997,1,-0.043,62.5101,0.538461538,0
20,5998,1,-0.086,62.5101,0.538461538,0
20,5999,1,0.65,64.98,0.538461538,0
21,5152,0,-0.111,62.3725,1,0
21,5153,1,1.131,71.76,1,0
21,5154,1,1.079,62.3725,1,0
21,5155,1,-0.507,29.66,1,0
21,5156,1,0.747,71.91,1,0
21,5157,0,0.499,49.4,1,0
21,5158,1,1.32,62.3725,1,0
21,5159,1,-0.016,52.38,1,0
21,5160,0,0.469,43.27,1,0
21,5161,0,1.067,62.3725,1,0
21,5162,0,0.499,62.3725,1,0
21,5163,1,0.684,73.75,1,0
21,5164,0,0.573,65.2,1,0
21,5165,1,-0.486,62.3725,1,0
21,5166,1,0.099,62.3725,1,0
21,5167,1,0.179,59.59,1,0
21,5168,1,0.747,62.3725,1,0
21,5169,0,-0.131,46.97,1,0
21,5170,1,0.301,64.43,1,0
21,5171,0,0.83,68.92,1,0
22,2297,0,-0.509,46.17,0.333333333,0
22,2298,0,-1.522,61.0836,0.333333333,0
22,2299,1,-1.76,47.26,0.333333333,0
22,2300,1,-1.76,61.0836,0.333333333,0
22,2301,0,-0.716,58.68,0.333333333,0
22,2302,0,-1.12,60,0.333333333,0
22,2303,1,-1.427,40.09,0.333333333,0
22,2304,0,-1.477,50.28,0.333333333,0
22,2305,1,-1.436,58,0.333333333,0
22,2306,1,-1.445,61.0836,0.333333333,0
22,2307,1,0.722,61.61,0.333333333,0
22,2308,0,-0.473,61.0836,0.333333333,0
23,4701,1,0.633,62.3199,1,0
23,6068,0,0.832,62.5159,1,0
23,6069,1,0.787,62.5159,1,0
23,6070,0,-0.544,50.55,1,0
23,6071,0,0.958,39.4,1,0
23,6072,0,-0.602,62.5159,1,0
23,6073,0,0.25,64.15,1,0
23,6074,1,0.904,59.31,1,0
23,6075,0,0.336,62.5159,1,0
23,6076,0,1.189,63.31,1,0
23,6077,0,0.862,62.5159,1,0
23,6078,1,1.157,64.04,1,0
23,6079,1,0.187,62.5159,1,0
23,6080,1,0.502,62.5159,1,0
24,87,1,-0.349,43.33,1,0
24,638,1,-0.191,43.95,1,0
24,639,0,-0.875,53.36,1,0
24,640,0,0.119,60.5883,1,0
24,641,1,-0.968,60.5883,1,0
24,642,0,-0.856,60.5883,1,0
24,643,1,-0.999,46.15,1,0
24,644,0,0.613,60.5883,1,0
24,645,1,-0.24,60.5883,1,0
24,646,1,1.691,71.33,1,0
24,647,1,-0.85,49.92,1,0
24,648,1,-0.936,72.94,1,0
24,649,0,-0.521,60.5883,1,0
24,650,1,-0.992,68.06,1,0
24,651,1,-0.15,60.5883,1,0
25,5856,1,-0.324,45.56,0.684210526,1
25,5857,0,0.079,62.5029,0.684210526,1
25,5858,0,-0.536,62.5029,0.684210526,1
25,5859,0,0.044,62.5029,0.684210526,1
25,5860,1,-1.217,35.82,0.684210526,1
25,5861,1,-0.924,62.5029,0.684210526,1
25,5862,1,-0.123,45.46,0.684210526,1
25,5863,0,0,59.83,0.684210526,1
25,5864,0,0.262,62.5029,0.684210526,1
25,5865,0,-1.041,38.46,0.684210526,1
25,5866,1,-0.401,46.89,0.684210526,1
25,5867,0,0.002,62.5029,0.684210526,1
25,5868,0,-0.641,62.5029,0.684210526,1
25,5869,0,0.004,62.5029,0.684210526,1
25,5870,1,0.486,62.5029,0.684210526,1
25,5871,1,-0.286,35.33,0.684210526,1
25,5872,1,0.077,62.5029,0.684210526,1
25,5873,0,-1.434,62.5029,0.684210526,1
25,6174,1,0.29,57.54,0.684210526,1
26,4603,1,-0.693,62.2778,1,1
26,4604,0,-0.17,62.2778,1,1
26,4605,0,-0.724,48.33,1,1
26,4606,0,0.01,62.2778,1,1
26,4607,0,0.603,69.48,1,1
26,4608,0,-0.112,51.31,1,1
26,4609,1,-0.927,62.2778,1,1
26,4610,1,-0.075,62.2778,1,1
26,4611,0,-0.542,62.2778,1,1
26,4612,1,0.411,67.88,1,1
26,4613,1,0.004,55.8,1,1
26,4614,0,0.581,47.14,1,1
26,4615,1,-0.377,62.2778,1,1
26,4616,0,-0.244,62.2778,1,1
26,4617,0,-0.655,62.2778,1,1
26,4618,0,-0.096,62.2778,1,1
26,4619,0,-1.397,62.2778,1,1
26,4620,1,-0.017,75.09,1,1
27,4584,1,-0.051,50.65,0.263157895,1
27,4585,1,0.101,50.24,0.263157895,1
27,4586,1,-0.348,62.2768,0.263157895,1
27,4587,0,-0.591,62.2768,0.263157895,1
27,4588,0,0.538,42.27,0.263157895,1
27,4589,0,-0.148,62.2768,0.263157895,1
27,4590,0,-0.646,75.98,0.263157895,1
27,4591,0,-0.873,67.11,0.263157895,1
27,4592,0,-1.685,40.98,0.263157895,1
27,4593,1,-0.422,62.2768,0.263157895,1
27,4594,1,0.054,48.29,0.263157895,1
27,4595,0,-0.501,36.98,0.263157895,1
27,4596,0,0.163,52.76,0.263157895,1
27,4597,1,-0.019,53.56,0.263157895,1
27,4598,1,-0.447,45.9,0.263157895,1
27,4599,1,-1.308,62.2768,0.263157895,1
27,4600,1,-0.546,56.14,0.263157895,1
27,4601,0,0.056,50.71,0.263157895,1
27,4602,1,-0.974,35.27,0.263157895,1
28,3684,1,1.276,61.8895,1,1
28,4720,0,1.705,67.53,1,1
28,4721,1,1.16,62.3317,1,1
28,4722,0,1.286,67.06,1,1
28,4723,1,1.261,61.66,1,1
28,4724,0,1.533,61.57,1,1
28,4725,0,0.337,59.96,1,1
28,4726,1,0.759,61.64,1,1
28,4727,0,0.938,66.55,1,1
28,4728,1,1.231,51.75,1,1
28,4729,1,1.556,65.15,1,1
28,4730,0,1.608,62.3317,1,1
28,4731,0,0.706,66.37,1,1
28,4732,1,0.607,58.91,1,1
28,4733,0,-0.161,58.36,1,1
28,4734,1,0.385,61.28,1,1
28,4735,1,0.992,61.4,1,1
28,4736,1,0.797,60.9,1,1
28,4737,0,0.087,99.98,1,1
28,4738,0,1.851,73.7,1,1
28,4739,0,0.634,62.3317,1,1
29,6656,0,0.884,62.5516,0,1
29,6657,1,-0.868,46.04,0,1
29,6658,0,0.639,69.02,0,1
29,6659,1,-0.01,62.5516,0,1
29,6660,0,0.778,59,0,1
29,6661,1,0.223,63.53,0,1
29,6662,1,-0.53,51.11,0,1
29,6663,0,-0.134,60.54,0,1
29,6664,0,-0.297,53.04,0,1
29,6665,1,-0.353,65.38,0,1
29,6666,1,-1.103,62.5516,0,1
29,6667,1,-0.361,49.48,0,1
29,6668,1,0.226,71.98,0,1
29,6669,0,0.152,62.41,0,1
29,6670,0,-0.599,60.42,0,1
30,4378,1,-0.895,41.05,1,1
30,4379,0,-0.33,45.13,1,1
30,4380,0,0.163,71.26,1,1
30,4381,1,-0.832,42.64,1,1
30,4382,1,-0.57,39.17,1,1
30,4383,0,0.636,62.2717,1,1
30,4384,1,-0.106,51.83,1,1
30,4385,1,-0.837,50.66,1,1
30,4386,1,0.455,62.2717,1,1
30,4387,0,0.045,63.01,1,1
30,4388,1,-0.394,48.26,1,1
30,4389,0,-0.367,65.34,1,1
30,4390,0,-0.883,52.65,1,1
30,4391,1,-0.045,62.83,1,1
30,4392,1,-0.17,40.07,1,1
30,4393,0,-0.493,52.67,1,1
30,4394,0,-0.045,65.01,1,1
30,4395,1,-1.255,62.2717,1,1
30,4396,1,1.134,68.73,1,1
30,4397,1,-0.507,62.2717,1,1
31,3209,1,-0.225,64.28,0.4,1
31,3210,1,-1.332,40.29,0.4,1
31,3211,0,-0.362,61.6425,0.4,1
31,3212,1,-1.706,61.6425,0.4,1
31,3213,1,-0.198,61.6425,0.4,1
31,3214,1,0.635,60.28,0.4,1
31,3215,1,-1.744,61.6425,0.4,1
31,3216,1,-1.085,35.13,0.4,1
31,3217,0,-1.179,61.6425,0.4,1
31,3218,1,-1.123,48.5,0.4,1
31,3219,0,-0.126,61.6425,0.4,1
31,3220,0,-0.569,69.8,0.4,1
31,3221,1,-1.067,36.29,0.4,1
31,3222,1,-1.276,63.67,0.4,1
31,3223,0,-0.727,61.6425,0.4,1
31,3224,1,1.702,64.72,0.4,1
31,3225,1,-0.699,40.66,0.4,1
31,3226,0,-1.289,70.38,0.4,1
31,3227,1,-1.422,41.03,0.4,1
31,3228,1,-0.43,51.17,0.4,1
32,3846,1,0.46,62.1113,1,1
32,3847,0,0.664,62.1113,1,1
32,3848,1,0.585,62.1113,1,1
32,3849,1,0.748,62.1113,1,1
32,3850,1,1.168,62.1113,1,1
32,3851,0,0.982,62.1113,1,1
32,3852,0,1.779,62.1113,1,1
32,3853,1,0.962,62.1113,1,1
32,3854,0,1.202,62.1113,1,1
32,3855,1,0.55,62.1113,1,1
32,3856,1,1.458,62.1113,1,1
32,3857,0,1.156,62.1113,1,1
32,3858,0,0.651,62.1113,1,1
32,3859,1,1.086,62.1113,1,1
32,3860,1,0.765,62.1113,1,1
32,3861,1,1.585,62.1113,1,1
32,3862,0,1.01,62.1113,1,1
32,3863,0,1.359,62.1113,1,1
32,3864,1,0.547,62.1113,1,1
32,3865,0,1.002,62.1113,1,1
32,3866,1,1.211,62.1113,1,1
32,3867,0,0.997,62.1113,1,1
32,3868,0,0.479,62.1113,1,1
32,3869,0,1.456,62.1113,1,1
32,3870,0,0.832,62.1113,1,1
32,3871,0,1.062,62.1113,1,1
32,3872,1,0.229,62.1113,1,1
32,3873,0,1.475,62.1113,1,1
32,3874,0,0.91,62.1113,1,1
32,3875,1,1.397,62.1113,1,1
32,3876,0,1.533,62.1113,1,1
32,3877,0,1.236,62.1113,1,1
32,3878,1,1.66,62.1113,1,1
32,3879,1,1.328,62.1113,1,1
32,3880,0,0.212,62.1113,1,1
32,3881,1,1.202,62.1113,1,1
33,5836,0,-0.232,38.65,1,1
33,5837,0,0.982,62.5014,1,1
33,5838,0,0.221,50.05,1,1
33,5839,1,-0.17,43.2,1,1
33,5840,1,-0.883,47.33,1,1
33,5841,1,0.204,48.93,1,1
33,5842,0,-1.131,50.18,1,1
33,5843,0,-0.5,62.5014,1,1
33,5844,0,0.241,32.01,1,1
33,5845,0,-0.947,48.3,1,1
33,5846,0,0.762,53.62,1,1
33,5847,0,-1.277,62.5014,1,1
33,5848,1,-0.072,49.15,1,1
33,5849,1,-0.65,45.32,1,1
33,5850,1,0.003,64.39,1,1
33,5851,0,-0.348,61.52,1,1
33,5852,0,0.032,62.5014,1,1
33,5853,1,-0.014,62.5014,1,1
33,5854,0,0.262,61.79,1,1
33,5855,1,-0.039,43.83,1,1
33,6122,0,-1.11,42.19,1,1
34,2143,0,0.019,64.72,1,1
34,2144,1,-0.596,38.55,1,1
34,2145,1,-0.394,66.68,1,1
34,2146,0,0.289,56.85,1,1
34,2147,0,-0.317,67.8,1,1
34,2148,1,-0.376,44.99,1,1
34,2149,0,0.231,50.6,1,1
34,2150,1,-0.606,39.83,1,1
34,2151,0,-0.254,61.0788,1,1
34,2152,1,-0.927,31.53,1,1
34,2153,0,-0.246,61.0788,1,1
34,2154,0,-0.072,50.9,1,1
34,2155,1,-0.479,55.39,1,1
34,2156,1,-0.717,99.98,1,1
34,2157,0,0.423,63.54,1,1
34,2158,0,0.64,61.47,1,1
34,2159,1,0.434,61.0788,1,1
34,2160,0,-0.077,51.15,1,1
35,102,1,1.229,60.5773,1,1
35,103,0,0.718,70.75,1,1
35,104,1,-0.573,60.5773,1,1
35,105,1,1.264,60.5773,1,1
35,106,0,0.716,60.5773,1,1
35,107,1,0.336,60.5773,1,1
35,108,0,-0.269,70.28,1,1
35,109,0,0.884,60.5773,1,1
35,110,0,-0.02,60.5773,1,1
35,111,0,0.953,67.07,1,1
35,112,1,0.206,51.64,1,1
35,113,0,1.306,60.5773,1,1
35,114,0,-0.039,50.51,1,1
36,1346,1,-0.773,48.05,1,1
36,1347,1,-0.296,61.9,1,1
36,1348,0,-0.934,45.1,1,1
36,1349,0,-0.787,60.6041,1,1
36,1350,1,-0.593,61.74,1,1
36,1351,0,-0.368,51.05,1,1
36,1352,0,0.553,61.9,1,1
36,1353,1,-0.916,50.35,1,1
36,1354,1,0.284,52.06,1,1
36,1355,1,0.81,58.91,1,1
36,1356,1,-0.517,37.24,1,1
36,1357,1,-1.18,32.06,1,1
37,185,1,-0.334,60.5795,1,1
37,187,1,-1.205,72.4,1,1
37,188,1,-1.139,67.85,1,1
37,189,0,0.544,69.21,1,1
37,190,0,-1.105,53.47,1,1
37,191,1,0.585,60.5795,1,1
37,192,1,0.106,66.34,1,1
37,193,0,0.231,66.14,1,1
37,194,1,-0.149,60.5795,1,1
37,195,1,-0.807,54.81,1,1
37,196,0,-0.02,53.98,1,1
37,197,0,-1.3,60.5795,1,1
37,198,0,-0.318,60.5795,1,1
37,199,0,-0.466,56.03,1,1
37,200,0,-0.936,59.63,1,1
38,2749,1,0.309,51.71,1,1
38,2750,1,-0.199,48.86,1,1
38,2751,1,0.731,51.9,1,1
38,2752,1,0.179,49.18,1,1
38,2753,0,0.797,55.78,1,1
38,2754,1,-0.484,61.1817,1,1
38,2755,0,0.344,61.75,1,1
38,2756,1,-0.012,50.75,1,1
38,2757,1,-0.206,47.77,1,1
38,2758,0,-1.169,61.1817,1,1
38,2759,0,-0.082,59.99,1,1
38,2760,0,0.605,61.14,1,1
39,4083,0,-0.246,63.57,0.1,1
39,4084,0,0.04,75.23,0.1,1
39,4085,0,-0.278,63.85,0.1,1
39,4086,1,-2.116,62.2646,0.1,1
39,4087,1,-0.233,57.96,0.1,1
39,4088,0,-0.369,51.84,0.1,1
39,4089,1,-0.169,52.81,0.1,1
39,4090,1,1.381,62.2647,0.1,1
39,4091,0,0.484,48.19,0.1,1
39,4092,0,0.509,41.86,0.1,1
39,4093,1,-1.339,49.09,0.1,1
39,4094,1,-0.061,59.54,0.1,1
39,4095,0,-0.191,69.37,0.1,1
39,4096,1,-0.522,54.35,0.1,1
39,4097,1,0.185,55.15,0.1,1
39,4098,1,-0.049,51.01,0.1,1
39,4099,0,0.284,68.06,0.1,1
39,4100,1,0.359,55.89,0.1,1
39,4101,1,-0.71,39.94,0.1,1
39,4102,0,-0.773,67.19,0.1,1
40,2281,1,-1.581,49.65,1,0
40,2282,0,1.057,61.0833,1,0
40,2283,1,-1.582,61.0833,1,0
40,2284,1,-2.039,49.37,1,0
40,2285,1,-1.624,48.38,1,0
40,2286,1,-1.269,39.03,1,0
40,2287,1,-2.039,42.4,1,0
40,2288,0,-1.057,48.27,1,0
40,2289,0,-1.477,61.0833,1,0
40,2290,0,-0.239,61.0833,1,0
40,2291,1,-0.286,36.3,1,0
40,2292,1,-0.478,61.0833,1,0
40,2293,0,-0.549,35.83,1,0
