subject,motivation,study_day,meditated,focus_score
21,59.4,12,0,49.5
21,59.4,19,0,60
21,59.4,26,0,67.1
21,59.4,33,0,72.2
21,59.4,40,1,84.4
21,59.4,47,1,94.2
22,43.4,12,1,48.2
22,43.4,19,1,43.7
22,43.4,26,0,36.9
22,43.4,33,0,36.7
22,43.4,40,0,27.3
22,43.4,47,0,32.5
23,41.6,12,0,31.2
23,41.6,19,0,29.5
23,41.6,26,0,31.8
23,41.6,33,0,38.8
23,41.6,40,0,38.6
23,41.6,47,0,39.4
24,73.6,12,1,53.8
24,73.6,19,1,63.2
24,73.6,26,0,70.2
24,73.6,33,0,78.4
24,73.6,40,1,83.2
24,73.6,47,0,85.7
25,49.7,12,0,27
25,49.7,19,1,45.8
25,49.7,26,0,45.5
25,49.7,33,1,59.7
25,49.7,40,0,61
25,49.7,47,0,67.7
26,56.5,12,0,58.3
26,56.5,19,1,67.7
26,56.5,26,1,69.2
26,56.5,33,1,77.4
26,56.5,40,0,79.4
26,56.5,47,1,88.6
27,43,12,0,31.1
27,43,19,0,30.3
27,43,26,0,37
27,43,33,0,37.6
27,43,40,0,37.8
27,43,47,0,45.4
28,45.6,12,0,37.8
28,45.6,19,0,42.3
28,45.6,26,0,45
28,45.6,33,0,46.9
28,45.6,40,1,55.6
28,45.6,47,1,61.4
29,42.8,12,0,33.5
29,42.8,19,0,48.2
29,42.8,26,0,50.1
29,42.8,33,0,46.9
29,42.8,40,0,58.2
29,42.8,47,0,62.2
30,47.3,12,0,42.1
30,47.3,19,0,37
30,47.3,26,1,45
30,47.3,33,0,43.2
30,47.3,40,0,53.4
30,47.3,47,0,53.7
31,59,12,0,42.2
31,59,19,0,56.9
31,59,26,0,58
31,59,33,1,72.9
31,59,40,0,80.2
31,59,47,1,78.9
32,43.6,12,1,50
32,43.6,19,0,47.1
32,43.6,26,0,48.1
32,43.6,33,0,46.5
32,43.6,40,1,52.9
32,43.6,47,0,47.4
33,49.2,12,0,52.2
33,49.2,19,0,55.1
33,49.2,26,0,53.8
33,49.2,33,0,60
33,49.2,40,0,68.4
33,49.2,47,0,65.8
34,58.5,12,0,51
34,58.5,19,0,51.1
34,58.5,26,1,71.5
34,58.5,33,0,70.3
34,58.5,40,1,83.6
34,58.5,47,0,82.5
35,56.2,12,1,54.6
35,56.2,19,0,55.5
35,56.2,26,0,56.6
35,56.2,33,0,64
35,56.2,40,1,78.3
35,56.2,47,1,85.4
36,30.1,12,1,32.1
36,30.1,19,0,26.3
36,30.1,26,0,25.6
36,30.1,33,1,29.3
36,30.1,40,1,22.1
36,30.1,47,0,19
37,56.3,12,0,42.5
37,56.3,19,1,59.9
37,56.3,26,0,56.3
37,56.3,33,0,59.1
37,56.3,40,0,73.9
37,56.3,47,0,71.5
38,30.6,12,0,13.4
38,30.6,19,0,11.9
38,30.6,26,0,20.9
38,30.6,33,0,11.8
38,30.6,40,0,7.5
38,30.6,47,0,7.6
39,54.8,12,0,52.1
39,54.8,19,0,57.5
39,54.8,26,1,68.3
39,54.8,33,1,72.4
39,54.8,40,0,74.3
39,54.8,47,0,77.9
40,67.8,12,1,63.7
40,67.8,19,1,68.9
40,67.8,26,1,74.4
40,67.8,33,1,87.1
40,67.8,40,0,83.7
40,67.8,47,0,95.1
41,58.9,12,0,54.2
41,58.9,19,0,55.5
41,58.9,26,0,55.1
41,58.9,33,0,68.5
41,58.9,40,0,63.1
41,58.9,47,1,77.9
42,39,12,0,19
42,39,19,0,14.4
42,39,26,1,21.5
42,39,33,0,18.5
42,39,40,1,20.4
42,39,47,0,19.3
43,47,12,1,39
43,47,19,0,33.2
43,47,26,0,35.5
43,47,33,1,40.6
43,47,40,0,39.6
43,47,47,0,45.3
44,58.3,12,1,54.3
44,58.3,19,1,64
44,58.3,26,1,63.9
44,58.3,33,0,57
44,58.3,40,0,64.7
44,58.3,47,0,69.6
45,25.9,12,0,19.1
45,25.9,19,0,23.4
45,25.9,26,0,23.2
45,25.9,33,1,28.5
45,25.9,40,0,24.6
45,25.9,47,0,17.8
46,52.6,12,0,55.8
46,52.6,19,0,52.3
46,52.6,26,0,55.7
46,52.6,33,0,62.7
46,52.6,40,1,75.6
46,52.6,47,1,82.5
47,28.3,12,0,13.3
47,28.3,19,1,25
47,28.3,26,0,27.9
47,28.3,33,0,29.1
47,28.3,40,0,31.6
47,28.3,47,1,32.2
48,50.3,12,0,42.7
48,50.3,19,0,43.8
48,50.3,26,0,52.3
48,50.3,33,0,54.9
48,50.3,40,1,57.4
48,50.3,47,0,59.1
49,44.3,12,0,39.3
49,44.3,19,0,42.4
49,44.3,26,1,45.6
49,44.3,33,1,48.1
49,44.3,40,0,50.1
49,44.3,47,0,58
50,52.8,12,0,36
50,52.8,19,1,44.6
50,52.8,26,1,53
50,52.8,33,0,49.4
50,52.8,40,1,63.3
50,52.8,47,0,67.2
51,52.6,12,0,40.5
51,52.6,19,0,43.4
51,52.6,26,0,44.8
51,52.6,33,0,50
51,52.6,40,0,49.7
51,52.6,47,0,54.5
52,58.9,12,0,51.7
52,58.9,19,0,55.4
52,58.9,26,0,71.1
52,58.9,33,0,85.2
52,58.9,40,1,94.1
52,58.9,47,0,90.5
53,44.7,12,1,43.7
53,44.7,19,1,43.8
53,44.7,26,0,47.1
53,44.7,33,0,47.5
53,44.7,40,0,48.4
53,44.7,47,0,51.2
54,47.1,12,0,40
54,47.1,19,0,41.9
54,47.1,26,1,48.8
54,47.1,33,0,41.5
54,47.1,40,0,39.8
54,47.1,47,0,38.6
55,73.2,12,1,60.8
55,73.2,19,1,68.6
55,73.2,26,0,71.3
55,73.2,33,1,88.7
55,73.2,40,1,94.3
55,73.2,47,0,89.6
56,58.1,12,1,50.1
56,58.1,19,1,58.1
56,58.1,26,1,67.9
56,58.1,33,1,76.3
56,58.1,40,1,79.5
56,58.1,47,0,83
57,41.8,12,1,46
57,41.8,19,1,40.6
57,41.8,26,1,42
57,41.8,33,0,46.5
57,41.8,40,0,40.6
57,41.8,47,0,39.6
58,56.1,12,0,54.1
58,56.1,19,0,54.6
58,56.1,26,1,56.3
58,56.1,33,1,61.8
58,56.1,40,0,61.5
58,56.1,47,0,69.4
59,50.1,12,0,50.7
59,50.1,19,0,52.5
59,50.1,26,0,57.8
59,50.1,33,0,56.3
59,50.1,40,0,51.4
59,50.1,47,1,58.1
60,55.1,12,0,34.4
60,55.1,19,0,28.9
60,55.1,26,1,39
60,55.1,33,0,45.8
60,55.1,40,1,49.5
60,55.1,47,1,46.8
61,39.6,12,0,32.9
61,39.6,19,0,39.5
61,39.6,26,0,40.1
61,39.6,33,0,44.4
61,39.6,40,0,48.2
61,39.6,47,0,42
62,29.4,12,0,16.8
62,29.4,19,1,19
62,29.4,26,0,22.6
62,29.4,33,0,23
62,29.4,40,0,21.1
62,29.4,47,1,26
63,38.2,12,0,30.1
63,38.2,19,0,31.9
63,38.2,26,1,37.7
63,38.2,33,0,35.7
63,38.2,40,1,43.8
63,38.2,47,0,35.1
64,44.8,12,0,48.8
64,44.8,19,1,48.7
64,44.8,26,0,45.5
64,44.8,33,0,48.3
64,44.8,40,0,46.5
64,44.8,47,0,50.5
65,38.4,12,0,26.6
65,38.4,19,0,32.1
65,38.4,26,0,35.2
65,38.4,33,0,42.7
65,38.4,40,0,48.2
65,38.4,47,0,44.7
66,67.1,12,1,46.3
66,67.1,19,0,53.7
66,67.1,26,0,57.2
66,67.1,33,0,65.9
66,67.1,40,1,75.8
66,67.1,47,0,81.4
67,46,12,0,37.9
67,46,19,1,44.8
67,46,26,0,47.7
67,46,33,0,47.9
67,46,40,0,50.7
67,46,47,1,60.3
68,49.2,12,1,48.5
68,49.2,19,0,54.9
68,49.2,26,0,60
68,49.2,33,0,60.2
68,49.2,40,0,70.3
68,49.2,47,0,65.3
69,43.1,12,1,34.7
69,43.1,19,0,32.3
69,43.1,26,1,39.6
69,43.1,33,0,34.6
69,43.1,40,0,36.2
69,43.1,47,0,34.8
70,43,12,0,25
70,43,19,0,32.5
70,43,26,1,33.1
70,43,33,1,26.8
70,43,40,0,33.7
70,43,47,0,33.8
71,52.1,12,0,42.5
71,52.1,19,0,48.1
71,52.1,26,0,48.1
71,52.1,33,0,56.7
71,52.1,40,1,55.8
71,52.1,47,0,57.1
72,54.2,12,0,37.5
72,54.2,19,0,40.1
72,54.2,26,0,46.8
72,54.2,33,1,49.5
72,54.2,40,0,51.3
72,54.2,47,0,49.3
73,60.6,12,0,44.5
73,60.6,19,1,52.3
73,60.6,26,0,58.8
73,60.6,33,1,60.4
73,60.6,40,0,71.6
73,60.6,47,0,76.4
74,42.7,12,0,46.4
74,42.7,19,1,51.1
74,42.7,26,0,42.2
74,42.7,33,0,34
74,42.7,40,1,41.5
74,42.7,47,0,34.3
75,58.7,12,1,61.7
75,58.7,19,0,56.9
75,58.7,26,0,63.9
75,58.7,33,1,78.9
75,58.7,40,1,78
75,58.7,47,0,80.7
76,36.1,12,1,39
76,36.1,19,0,29.2
76,36.1,26,0,37.9
76,36.1,33,0,47
76,36.1,40,0,47.8
76,36.1,47,0,45.7
77,53.1,12,0,43.5
77,53.1,19,0,52.2
77,53.1,26,1,58.6
77,53.1,33,0,57
77,53.1,40,0,62.2
77,53.1,47,0,68.8
78,51.9,12,1,42.4
78,51.9,19,0,42.7
78,51.9,26,0,41.9
78,51.9,33,0,49.1
78,51.9,40,0,49.5
78,51.9,47,0,56.8
79,48.4,12,0,34.2
79,48.4,19,1,47.3
79,48.4,26,1,46.7
79,48.4,33,0,47.7
79,48.4,40,0,48.5
79,48.4,47,0,46.1
80,55.1,12,0,46.4
80,55.1,19,0,51.7
80,55.1,26,0,53.9
80,55.1,33,0,68.1
80,55.1,40,0,73.6
80,55.1,47,0,73.9
81,59,12,0,51.8
81,59,19,1,58.9
81,59,26,0,59.5
81,59,33,0,56.1
81,59,40,0,60.6
81,59,47,1,63.4
82,51.2,12,0,51.2
82,51.2,19,0,51
82,51.2,26,0,54.5
82,51.2,33,0,58.5
82,51.2,40,1,60.1
82,51.2,47,0,62.8
83,59.4,12,0,45.5
83,59.4,19,0,44.2
83,59.4,26,0,53.5
83,59.4,33,1,63.6
83,59.4,40,0,59.9
83,59.4,47,0,65.3
84,55.2,12,0,55.5
84,55.2,19,0,69.2
84,55.2,26,1,79.3
84,55.2,33,0,83.4
84,55.2,40,1,94.1
84,55.2,47,0,93
85,44.5,12,1,40.2
85,44.5,19,0,49.7
85,44.5,26,0,50.1
85,44.5,33,0,52.5
85,44.5,40,0,53.7
85,44.5,47,1,61.6
86,57.7,12,1,55.7
86,57.7,19,1,62.1
86,57.7,26,0,65.9
86,57.7,33,0,70.6
86,57.7,40,0,76.6
86,57.7,47,0,83.5
87,57.4,12,0,52
87,57.4,19,1,58.4
87,57.4,26,1,71.2
87,57.4,33,1,74.3
87,57.4,40,0,73.3
87,57.4,47,0,72
88,44.1,12,0,27.8
88,44.1,19,0,39.9
88,44.1,26,0,36.3
88,44.1,33,0,40.5
88,44.1,40,0,39.1
88,44.1,47,0,40.8
89,56.3,12,0,46.3
89,56.3,19,1,56
89,56.3,26,0,60.2
89,56.3,33,1,74.1
89,56.3,40,1,76.8
89,56.3,47,1,83.7
90,31.2,12,0,27.1
90,31.2,19,1,38.9
90,31.2,26,0,34.4
90,31.2,33,0,32.9
90,31.2,40,0,31.1
90,31.2,47,0,33.5
91,51.4,12,0,37.5
91,51.4,19,1,42.1
91,51.4,26,0,38
91,51.4,33,0,40.6
91,51.4,40,0,44.8
91,51.4,47,1,53.8
92,52.4,12,1,39.5
92,52.4,19,1,38.6
92,52.4,26,0,45.5
92,52.4,33,0,46.4
92,52.4,40,0,54.8
92,52.4,47,0,46.2
93,51.2,12,0,50.8
93,51.2,19,0,55.6
93,51.2,26,1,62.8
93,51.2,33,0,63.8
93,51.2,40,0,58.8
93,51.2,47,0,66.8
94,29.9,12,0,18.8
94,29.9,19,0,23.2
94,29.9,26,0,22.5
94,29.9,33,0,24.7
94,29.9,40,0,19.2
94,29.9,47,0,26.5
95,46.3,12,1,39.5
95,46.3,19,1,37
95,46.3,26,1,33.9
95,46.3,33,0,36.7
95,46.3,40,0,29.4
95,46.3,47,0,38.5
96,40,12,0,32.4
96,40,19,0,35.6
96,40,26,0,43.2
96,40,33,0,39.5
96,40,40,0,43.6
96,40,47,0,40
97,38.7,12,0,27
97,38.7,19,0,22.4
97,38.7,26,0,24.5
97,38.7,33,0,20.3
97,38.7,40,0,19.3
97,38.7,47,0,12.5
98,50.2,12,1,57.5
98,50.2,19,0,53.1
98,50.2,26,1,52
98,50.2,33,0,53.5
98,50.2,40,0,59.1
98,50.2,47,0,64.6
99,54,12,0,45.3
99,54,19,1,48.4
99,54,26,1,50.7
99,54,33,0,52.3
99,54,40,0,45.9
99,54,47,0,57.3
100,44.6,12,0,29
100,44.6,19,1,42.7
100,44.6,26,1,39.3
100,44.6,33,0,42.1
100,44.6,40,0,42
100,44.6,47,0,50.9
101,42.2,12,0,35.4
101,42.2,19,0,36.8
101,42.2,26,0,39.6
101,42.2,33,0,41.8
101,42.2,40,0,48.4
101,42.2,47,0,51.5
102,24.4,12,0,17.5
102,24.4,19,0,13.5
102,24.4,26,0,13.3
102,24.4,33,0,5.9
102,24.4,40,0,10.5
102,24.4,47,0,3.8
103,50.7,12,0,40.1
103,50.7,19,0,43.4
103,50.7,26,0,45.7
103,50.7,33,0,53.5
103,50.7,40,1,55
103,50.7,47,0,58.2
104,57.5,12,1,40.9
104,57.5,19,0,47.5
104,57.5,26,0,54
104,57.5,33,0,63.6
104,57.5,40,0,69.8
104,57.5,47,0,75.9
105,48.7,12,1,47.6
105,48.7,19,0,40.9
105,48.7,26,0,43.5
105,48.7,33,1,60.7
105,48.7,40,1,58.4
105,48.7,47,0,52.9
106,45.1,12,1,33.5
106,45.1,19,0,33
106,45.1,26,0,32.3
106,45.1,33,0,45
106,45.1,40,0,48.7
106,45.1,47,1,51.3
107,59.1,12,1,46.3
107,59.1,19,1,55.2
107,59.1,26,0,65.3
107,59.1,33,0,58.9
107,59.1,40,0,77.4
107,59.1,47,1,84.1
108,31.5,12,0,31.1
108,31.5,19,0,34.8
108,31.5,26,0,33.2
108,31.5,33,0,41.7
108,31.5,40,0,32.7
108,31.5,47,0,37.4
109,46.9,12,0,36
109,46.9,19,0,35.6
109,46.9,26,0,35.3
109,46.9,33,0,36.4
109,46.9,40,0,38.3
109,46.9,47,0,40.3
110,46.9,12,0,37.4
110,46.9,19,0,43.2
110,46.9,26,0,49
110,46.9,33,0,58.4
110,46.9,40,1,74.9
110,46.9,47,0,71.3
111,50.2,12,0,33.2
111,50.2,19,0,30.3
111,50.2,26,0,38.1
111,50.2,33,0,37
111,50.2,40,0,43.6
111,50.2,47,1,44.6
112,61.8,12,1,44.6
112,61.8,19,0,48.5
112,61.8,26,0,52.6
112,61.8,33,0,58.8
112,61.8,40,0,64.6
112,61.8,47,1,74.6
113,44.5,12,1,47
113,44.5,19,1,49.1
113,44.5,26,0,45.9
113,44.5,33,0,58.7
113,44.5,40,0,64.7
113,44.5,47,0,68.2
114,56,12,1,55.1
114,56,19,0,59.5
114,56,26,0,68.2
114,56,33,0,74.5
114,56,40,0,85.7
114,56,47,1,88.1
115,56.8,12,0,45.5
115,56.8,19,1,62.6
115,56.8,26,0,61.8
115,56.8,33,0,72.7
115,56.8,40,0,78.4
115,56.8,47,0,91.2
116,50.1,12,0,35.9
116,50.1,19,0,44.6
116,50.1,26,0,41.5
116,50.1,33,0,47.2
116,50.1,40,0,49.8
116,50.1,47,0,45.7
117,47.9,12,0,38.3
117,47.9,19,0,45
117,47.9,26,0,44
117,47.9,33,0,44.9
117,47.9,40,0,46.2
117,47.9,47,0,47.2
118,57.4,12,0,50.1
118,57.4,19,1,53.6
118,57.4,26,0,57.3
118,57.4,33,0,51.8
118,57.4,40,0,57.3
118,57.4,47,0,61
119,49.7,12,0,49.5
119,49.7,19,1,57.5
119,49.7,26,0,65.3
119,49.7,33,0,73.2
119,49.7,40,0,85.2
119,49.7,47,0,88.6
120,32,12,0,24.5
120,32,19,0,22.9
120,32,26,0,23.4
120,32,33,1,21.4
120,32,40,0,17.2
120,32,47,0,19.6
121,31.8,12,0,28.1
121,31.8,19,0,34.3
121,31.8,26,0,34
121,31.8,33,0,36.8
121,31.8,40,0,28.6
121,31.8,47,0,38.3
122,47.4,12,1,51.2
122,47.4,19,1,54
122,47.4,26,1,59.1
122,47.4,33,1,60.7
122,47.4,40,0,58.9
122,47.4,47,0,66.7
123,49.4,12,0,43.1
123,49.4,19,0,47.6
123,49.4,26,1,57
123,49.4,33,0,54.8
123,49.4,40,0,64.5
123,49.4,47,0,70.3
124,59.9,12,1,56.6
124,59.9,19,1,64.4
124,59.9,26,0,66.7
124,59.9,33,0,77.1
124,59.9,40,0,81.5
124,59.9,47,0,85.6
125,40.3,12,0,32
125,40.3,19,0,27.9
125,40.3,26,1,34.5
125,40.3,33,0,23.5
125,40.3,40,1,24.7
125,40.3,47,1,18.4
126,53.8,12,0,36.1
126,53.8,19,1,50.7
126,53.8,26,0,51.1
126,53.8,33,0,55.5
126,53.8,40,0,60.2
126,53.8,47,1,67.4
127,52.1,12,0,38.8
127,52.1,19,0,38.4
127,52.1,26,1,45
127,52.1,33,0,48.6
127,52.1,40,0,50.7
127,52.1,47,0,54.8
128,40.3,12,0,39.3
128,40.3,19,0,39
128,40.3,26,0,42.3
128,40.3,33,0,43.9
128,40.3,40,0,46.3
128,40.3,47,1,59.3
129,64.9,12,0,41.2
129,64.9,19,1,51.3
129,64.9,26,1,55.2
129,64.9,33,0,57.6
129,64.9,40,0,63.8
129,64.9,47,0,68.9
130,46.6,12,0,26.9
130,46.6,19,0,36.5
130,46.6,26,0,35.1
130,46.6,33,0,47.8
130,46.6,40,0,51.5
130,46.6,47,0,58.6
131,33,12,0,29.8
131,33,19,0,34.6
131,33,26,0,43.2
131,33,33,0,41.5
131,33,40,0,44.9
131,33,47,0,50.9
132,35.3,12,0,31
132,35.3,19,0,36
132,35.3,26,0,32.1
132,35.3,33,0,34.5
132,35.3,40,0,42.6
132,35.3,47,0,37.7
133,47.8,12,0,39.7
133,47.8,19,0,42.1
133,47.8,26,0,48.4
133,47.8,33,1,55.1
133,47.8,40,0,57.4
133,47.8,47,1,64.9
134,61.5,12,0,46.6
134,61.5,19,0,48.2
134,61.5,26,0,57.4
134,61.5,33,1,64.8
134,61.5,40,1,78.9
134,61.5,47,0,82
135,56.3,12,1,64.9
135,56.3,19,0,64.1
135,56.3,26,1,76.7
135,56.3,33,1,82.3
135,56.3,40,1,84.8
135,56.3,47,0,85.2
136,47.2,12,0,37.4
136,47.2,19,0,38.8
136,47.2,26,1,45
136,47.2,33,1,51.4
136,47.2,40,0,44.5
136,47.2,47,0,50.6
137,32.6,12,0,21.8
137,32.6,19,0,14.9
137,32.6,26,0,20.4
137,32.6,33,0,11.5
137,32.6,40,1,14.5
137,32.6,47,0,6.4
138,39.8,12,0,41.4
138,39.8,19,1,40.4
138,39.8,26,0,46.6
138,39.8,33,0,48.2
138,39.8,40,0,52.9
138,39.8,47,0,58.8
139,46.9,12,0,39.7
139,46.9,19,0,41.6
139,46.9,26,0,48
139,46.9,33,0,57.2
139,46.9,40,1,54
139,46.9,47,0,51.4
140,44.9,12,1,37.3
140,44.9,19,0,41.2
140,44.9,26,1,42.8
140,44.9,33,0,40.1
140,44.9,40,1,52.8
140,44.9,47,0,52.4
141,42.6,12,0,32.6
141,42.6,19,0,30.8
141,42.6,26,1,48.8
141,42.6,33,1,57.3
141,42.6,40,0,48.7
141,42.6,47,0,63.8
142,51.9,12,1,35.1
142,51.9,19,0,40.3
142,51.9,26,0,43.1
142,51.9,33,0,48.7
142,51.9,40,0,47.6
142,51.9,47,0,50.3
143,38.3,12,1,36.7
143,38.3,19,1,35.9
143,38.3,26,0,36.7
143,38.3,33,0,37.9
143,38.3,40,0,41.7
143,38.3,47,1,48.1
144,33.7,12,0,16.8
144,33.7,19,1,23.7
144,33.7,26,0,24.3
144,33.7,33,0,22.5
144,33.7,40,0,24.6
144,33.7,47,0,24.6
145,40.2,12,0,27.5
145,40.2,19,0,35.4
145,40.2,26,0,31.9
145,40.2,33,0,35.9
145,40.2,40,0,36.4
145,40.2,47,1,42.4
146,43.1,12,0,43.1
146,43.1,19,1,48.3
146,43.1,26,0,39.7
146,43.1,33,0,40.6
146,43.1,40,0,45.5
146,43.1,47,0,46.2
147,54.1,12,0,41.4
147,54.1,19,0,39.8
147,54.1,26,0,40.7
147,54.1,33,0,38.8
147,54.1,40,1,45.2
147,54.1,47,1,48.2
148,38.8,12,0,29.2
148,38.8,19,0,36.1
148,38.8,26,0,41.5
148,38.8,33,1,41.8
148,38.8,40,0,43.9
148,38.8,47,1,48
149,34.4,12,0,29.7
149,34.4,19,0,26.2
149,34.4,26,0,23.3
149,34.4,33,0,15.7
149,34.4,40,0,15.3
149,34.4,47,0,6.5
150,52.3,12,0,40.9
150,52.3,19,0,48.3
150,52.3,26,1,57.6
150,52.3,33,0,62.3
150,52.3,40,0,62
150,52.3,47,0,71
151,30.2,12,1,16.9
151,30.2,19,0,17.9
151,30.2,26,1,20
151,30.2,33,0,12
151,30.2,40,0,14
151,30.2,47,0,18.5
152,59.8,12,0,50.7
152,59.8,19,1,58.7
152,59.8,26,0,59.4
152,59.8,33,0,68.6
152,59.8,40,1,72.3
152,59.8,47,1,78.7
153,46.7,12,0,38.8
153,46.7,19,0,34.5
153,46.7,26,1,41.5
153,46.7,33,0,36.8
153,46.7,40,0,33.1
153,46.7,47,0,35
154,47.7,12,0,32.9
154,47.7,19,0,39.8
154,47.7,26,0,37.2
154,47.7,33,0,38.2
154,47.7,40,0,35.6
154,47.7,47,0,40.7
155,54.2,12,0,44.8
155,54.2,19,0,52.9
155,54.2,26,1,64.4
155,54.2,33,1,70.3
155,54.2,40,0,66.2
155,54.2,47,0,76.5
156,48.1,12,1,45.2
156,48.1,19,0,41
156,48.1,26,0,38.3
156,48.1,33,0,43.7
156,48.1,40,1,57.7
156,48.1,47,0,48.1
157,47.3,12,1,50.1
157,47.3,19,0,50.2
157,47.3,26,0,51.4
157,47.3,33,0,60.9
157,47.3,40,0,63.3
157,47.3,47,0,64.1
158,47.4,12,0,36.7
158,47.4,19,0,43.4
158,47.4,26,0,42.5
158,47.4,33,0,46.8
158,47.4,40,0,52.8
158,47.4,47,0,51.9
159,44.5,12,0,40.5
159,44.5,19,1,42.4
159,44.5,26,0,39.7
159,44.5,33,0,48.7
159,44.5,40,0,42.2
159,44.5,47,0,54.8
160,45.6,12,0,36.2
160,45.6,19,0,33.9
160,45.6,26,0,34
160,45.6,33,0,36.1
160,45.6,40,0,36.2
160,45.6,47,1,38
161,53.3,12,1,51.9
161,53.3,19,1,51.3
161,53.3,26,0,47.2
161,53.3,33,0,57
161,53.3,40,0,57.3
161,53.3,47,1,58
162,42.2,12,0,30.4
162,42.2,19,0,33
162,42.2,26,0,27.2
162,42.2,33,0,37.4
162,42.2,40,0,28.6
162,42.2,47,0,27.6
163,55.2,12,0,39.2
163,55.2,19,0,49.2
163,55.2,26,1,60.2
163,55.2,33,1,57.9
163,55.2,40,0,60.3
163,55.2,47,0,69.2
164,68.9,12,0,55.7
164,68.9,19,0,58.3
164,68.9,26,0,64.3
164,68.9,33,0,77.2
164,68.9,40,0,78.7
164,68.9,47,0,82.4
165,65.8,12,0,48.9
165,65.8,19,0,58.8
165,65.8,26,0,62.6
165,65.8,33,1,72.1
165,65.8,40,1,81.4
165,65.8,47,1,85.3
166,48.7,12,0,40.1
166,48.7,19,0,48.2
166,48.7,26,1,50.4
166,48.7,33,0,48
166,48.7,40,0,56.6
166,48.7,47,1,60.3
167,34.2,12,0,29.4
167,34.2,19,1,37.4
167,34.2,26,0,32
167,34.2,33,0,36.6
167,34.2,40,0,36.4
167,34.2,47,1,39.9
168,42.3,12,0,27.6
168,42.3,19,0,32.7
168,42.3,26,0,36.9
168,42.3,33,0,43.1
168,42.3,40,1,56.1
168,42.3,47,0,53.9
169,39.1,12,0,47
169,39.1,19,0,41.4
169,39.1,26,0,43
169,39.1,33,0,51.1
169,39.1,40,0,46.1
169,39.1,47,1,52.7
170,42.6,12,1,43.9
170,42.6,19,0,32.4
170,42.6,26,0,34.9
170,42.6,33,0,38.3
170,42.6,40,0,34.5
170,42.6,47,1,47.8
171,59,12,1,52.1
171,59,19,0,57.6
